Stocks,Count,IsValid
LOW,8,1
HD,8,1
DIS,8,0
NKE,8,1
PYPL,1,0
MCD,5,1
WM,3,0
COST,5,0
AMZN,5,1
JNJ,1,0
TSLA,4,1
NVDA,1,0
CMG,6,1
PINS,1,0
MELI,1,0
DLTR,4,0
TSCO,1,0
RVN,1,0
F,4,1
GM,4,1
CCL,4,1
WYNN,2,1
LVMH,3,0
DISCK,2,0
PEP,1,0
PG,1,0
WMT,1,0
BKNG,3,1
CHPT,1,0
ZM,1,0
"DIS,",2,0
"TSLA,",2,0
"LULU,",1,0
"JD,",1,0
"PENN,",1,0
"LOW,",2,0
"HD,",2,0
"NKE,",2,0
"MCD,",2,0
"TJX,",1,0
"WM,",1,0
"O,",1,0
"CCI,",1,0
"COST,",1,0
STZ,1,0
SBUX,3,1
NFLX,2,0
KO,1,0
"F,",1,0
"GM,",1,0
"AMZN,",1,0
"LVMH,",1,0
"AAPL,",1,0
"HAS,",1,0
"BKNG,",1,0
"EXPE,",1,0
UAA,1,0
TJX,2,1
CVX,1,0
WHR,1,0
MTX,1,0
LULU,2,1
FLR,1,0
MAR,2,0
PGR,1,0
DPZ,1,0
PENN,1,0
SEDG,1,0
ULTA,1,0
TGT,1,0
