,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,XOM,0.1530612244897959,0.0666666666666666,0.1020408163265306,0.15,0.1020408163265306
1,CVX,0.1224489795918367,0.0666666666666666,0.1020408163265306,0.12,0.1020408163265306
2,COP,0.1020408163265306,0.0666666666666666,0.0816326530612244,0.1,0.0816326530612244
3,SLB,0.0816326530612244,0.0666666666666666,0.0816326530612244,0.08,0.0816326530612244
4,EOG,0.0816326530612244,0.0666666666666666,0.0816326530612244,0.08,0.0816326530612244
5,PSX,0.0714285714285714,0.0666666666666666,0.0714285714285714,0.07,0.0714285714285714
6,KMI,0.0612244897959183,0.0666666666666666,0.0714285714285714,0.06,0.0714285714285714
7,OXY,0.0612244897959183,0.0666666666666666,0.0612244897959183,0.06,0.0714285714285714
8,VLO,0.0510204081632653,0.0666666666666666,0.0612244897959183,0.05,0.0612244897959183
9,MPC,0.0510204081632653,0.0666666666666666,0.0612244897959183,0.05,0.0612244897959183
10,WMB,0.0408163265306122,0.0666666666666666,0.0510204081632653,0.04,0.0510204081632653
11,BKR,0.0408163265306122,0.0666666666666666,0.0510204081632653,0.04,0.0510204081632653
12,HAL,0.0306122448979591,0.0666666666666666,0.0408163265306122,0.04,0.0408163265306122
13,DVN,0.0306122448979591,0.0666666666666666,0.0408163265306122,0.03,0.0408163265306122
14,PXD,0.0204081632653061,0.0666666666666666,0.0408163265306122,0.03,0.0306122448979591
