,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,AAPL,0.15,0.14150943396226415,0.14150943396226415,0.14150943396226412,0.1530612244897959
1, MSFT,0.12,0.14150943396226415,0.1320754716981132,0.14150943396226412,0.1224489795918367
2, ADBE,0.1,0.11320754716981132,0.11320754716981132,0.09433962264150941,0.1020408163265306
3, CRM,0.09,0.09433962264150944,0.09433962264150944,0.09433962264150941,0.08163265306122447
4, NVDA,0.08,0.09433962264150944,0.09433962264150944,0.09433962264150941,0.08163265306122447
5, INTC,0.07,0.07547169811320754,0.07547169811320754,0.07547169811320753,0.07142857142857142
6, CSCO,0.06,0.0660377358490566,0.0660377358490566,0.07547169811320753,0.06122448979591835
7, AMAT,0.05,0.05660377358490566,0.05660377358490566,0.047169811320754707,0.0510204081632653
8, AMD,0.05,0.05660377358490566,0.05660377358490566,0.047169811320754707,0.0510204081632653
9, TXN,0.05,0.04716981132075472,0.04716981132075472,0.047169811320754707,0.0510204081632653
10, AVGO,0.04,0.03773584905660377,0.03773584905660377,0.047169811320754707,0.040816326530612235
11, QCOM,0.04,0.02830188679245283,0.02830188679245283,0.037735849056603765,0.040816326530612235
12, LRCX,0.04,0.018867924528301886,0.02830188679245283,0.02830188679245282,0.030612244897959176
13, ORCL,0.03,0.018867924528301886,0.018867924528301886,0.018867924528301883,0.030612244897959176
14, IBM,0.03,0.009433962264150943,0.009433962264150943,0.009433962264150941,0.030612244897959176
