,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,NEE,0.1485148514851485,0.14150943396226415,0.15,0.06666666666666667,0.14150943396226412
1, DUK,0.1188118811881188,0.11320754716981132,0.12,0.06666666666666667,0.11320754716981128
2, D,0.09900990099009901,0.09433962264150944,0.1,0.06666666666666667,0.09433962264150941
3, SO,0.09900990099009901,0.09433962264150944,0.1,0.06666666666666667,0.09433962264150941
4, AEP,0.07920792079207921,0.08490566037735849,0.08,0.06666666666666667,0.08490566037735847
5, EXC,0.07920792079207921,0.07547169811320754,0.08,0.06666666666666667,0.07547169811320753
6, PEG,0.06930693069306931,0.0660377358490566,0.07,0.06666666666666667,0.06603773584905659
7, ED,0.0594059405940594,0.0660377358490566,0.06,0.06666666666666667,0.06603773584905659
8, SRE,0.0594059405940594,0.05660377358490566,0.05,0.06666666666666667,0.05660377358490564
9, XEL,0.04950495049504951,0.04716981132075472,0.05,0.06666666666666667,0.047169811320754707
10, WEC,0.039603960396039604,0.03773584905660377,0.04,0.06666666666666667,0.037735849056603765
11, PPL,0.039603960396039604,0.03773584905660377,0.04,0.06666666666666667,0.037735849056603765
12, ES,0.0297029702970297,0.02830188679245283,0.03,0.06666666666666667,0.02830188679245282
13, CMS,0.019801980198019802,0.02830188679245283,0.02,0.06666666666666667,0.02830188679245282
14, ETR,0.009900990099009901,0.02830188679245283,0.01,0.06666666666666667,0.02830188679245282
