,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,GOOGL,0.1470588235294117,0.1470588235294117,0.15,0.15,0.2
1,META,0.1470588235294117,0.1470588235294117,0.15,0.15,0.15
2,VZ,0.0980392156862745,0.0980392156862745,0.1,0.1,0.1
3,T,0.0980392156862745,0.0980392156862745,0.1,0.1,0.1
4,CMCSA,0.0980392156862745,0.0980392156862745,0.1,0.1,0.1
5,DIS,0.0784313725490196,0.0980392156862745,0.1,0.05,0.08
6,NFLX,0.0784313725490196,0.0490196078431372,0.05,0.08,0.07
7,CHTR,0.0490196078431372,0.0490196078431372,0.05,0.05,0.05
8,TMUS,0.0490196078431372,0.0490196078431372,0.05,0.05,0.05
9,EA,0.0392156862745098,0.0490196078431372,0.05,0.05,0.03
10,OMC,0.0294117647058823,0.0294117647058823,0.02,0.02,0.02
11,FOXA,0.0294117647058823,0.0294117647058823,0.02,0.02,0.02
12,IPG,0.0196078431372549,0.0196078431372549,0.02,0.02,0.01
13,TTWO,0.0196078431372549,0.0196078431372549,0.02,0.03,0.01
14,GOOG,0.0196078431372549,0.0196078431372549,0.02,0.03,0.01
