,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,0,0,0,0,0,0,XOM,0.15,0.15,0.1782178217821781,0.15,0.12
1,1,1,1,1,1,1,CVX,0.12,0.13,0.1584158415841584,0.15,0.11
2,2,2,2,2,2,2,COP,0.1,0.12,0.1089108910891088,0.1,0.1
3,3,3,3,3,3,3,EOG,0.1,0.1,0.089108910891089,0.1,0.09
4,4,4,4,4,4,4,KMI,0.08,0.09,0.089108910891089,0.08,0.08
5,5,5,5,5,5,5,PSX,0.08,0.08,0.0792079207920792,0.08,0.08
6,6,6,6,6,6,6,VLO,0.08,0.07,0.0693069306930693,0.07,0.08
7,7,7,7,7,7,7,PXD,0.07,0.06,0.0594059405940593,0.06,0.07
8,8,8,8,8,8,8,MPC,0.05,0.05,0.0495049504950494,0.06,0.07
9,9,9,9,9,9,9,HES,0.05,0.04,0.0396039603960396,0.05,0.06
10,10,10,10,10,10,10,OXY,0.04,0.03,0.0297029702970296,0.04,0.05
11,11,11,11,11,11,11,HAL,0.03,0.03,0.0198019801980198,0.03,0.04
12,12,12,12,12,12,12,SLB,0.02,0.02,0.0099009900990099,0.02,0.03
13,13,13,13,13,13,13,BKR,0.02,0.02,0.0099009900990099,0.01,0.01
14,14,14,14,14,14,14,DVN,0.01,0.01,0.0099009900990099,0.0,0.01
