,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,JNJ,0.1,0.12,0.1470588235294117,0.1,0.101010101010101
1,PFE,0.1,0.08,0.1176470588235293,0.1,0.0808080808080807
2,UNH,0.1,0.15,0.1176470588235293,0.1,0.1212121212121211
3,MRK,0.1,0.06,0.0980392156862745,0.1,0.0707070707070707
4,ABT,0.05,0.1,0.0980392156862745,0.05,0.0909090909090908
5,TMO,0.05,0.1,0.0784313725490195,0.05,0.0808080808080807
6,AMGN,0.05,0.06,0.0686274509803921,0.05,0.0606060606060605
7,LLY,0.05,0.07,0.0686274509803921,0.05,0.0707070707070707
8,BMY,0.05,0.06,0.0588235294117646,0.05,0.0707070707070707
9,GILD,0.05,0.05,0.0490196078431372,0.05,0.0606060606060605
10,DHR,0.05,0.05,0.0294117647058823,0.05,0.0505050505050505
11,MDT,0.05,0.05,0.0196078431372548,0.05,0.0707070707070707
12,BDX,0.05,0.03,0.0196078431372548,0.05,0.0404040404040403
13,BSX,0.05,0.01,0.0196078431372548,0.05,0.0202020202020201
14,ABBV,0.1,0.01,0.0098039215686274,0.1,0.01010101010101
