,Unnamed: 0,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,0,AMT,0.1,0.1,0.1,0.12,0.1363636363636363
1,1, PLD,0.1,0.1,0.1,0.1,0.0909090909090909
2,2, CCI,0.1,0.1,0.1,0.1,0.0909090909090909
3,3, EQIX,0.1,0.1,0.1,0.08,0.1363636363636363
4,4, SPG,0.05,0.05,0.05,0.08,0.0454545454545454
5,5, PSA,0.05,0.05,0.05,0.08,0.0454545454545454
6,6, WELL,0.05,0.05,0.05,0.08,0.0454545454545454
7,7, AVB,0.05,0.1,0.05,0.08,0.0454545454545454
8,8, EQR,0.05,0.1,0.05,0.08,0.0454545454545454
9,9, DLR,0.1,0.1,0.1,0.06,0.0909090909090909
10,10, O,0.05,0.05,0.05,0.04,0.0454545454545454
11,11, VTR,0.05,0.05,0.05,0.04,0.0454545454545454
12,12, BXP,0.05,0.02,0.05,0.02,0.0454545454545454
13,13, ESS,0.05,0.02,0.05,0.02,0.0454545454545454
14,14, WY,0.05,0.01,0.05,0.02,0.0454545454545454
