,Unnamed: 0.1,Unnamed: 0,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,0,0,NEE,0.2,0.15,0.2,0.15,0.2
1,1,1,DUK,0.15,0.12,0.15,0.12,0.15
2,2,2,D,0.1,0.1,0.1,0.11,0.1
3,3,3,SO,0.1,0.1,0.1,0.1,0.1
4,4,4,EXC,0.1,0.08,0.1,0.09,0.08
5,5,5,AEP,0.05,0.08,0.05,0.08,0.08
6,6,6,SRE,0.05,0.08,0.05,0.08,0.07
7,7,7,PEG,0.05,0.07,0.05,0.07,0.06
8,8,8,ED,0.05,0.06,0.05,0.06,0.05
9,9,9,XEL,0.05,0.05,0.05,0.05,0.04
10,10,10,WEC,0.03,0.04,0.04,0.04,0.03
11,11,11,ES,0.02,0.03,0.02,0.02,0.02
12,12,12,PPL,0.02,0.02,0.02,0.01,0.01
13,13,13,FE,0.02,0.01,0.01,0.01,0.01
14,14,14,EIX,0.01,0.01,0.01,0.01,0.0
