,Unnamed: 0,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,0,GOOGL,0.198019801980198,0.2,0.2,0.2,0.2
1,1,META,0.1485148514851485,0.15,0.15,0.15,0.15
2,2,DIS,0.1188118811881188,0.1,0.1,0.1,0.1
3,3,NFLX,0.099009900990099,0.08,0.12,0.08,0.09
4,4,CMCSA,0.0792079207920792,0.1,0.08,0.1,0.08
5,5,T,0.0792079207920792,0.07,0.06,0.07,0.06
6,6,VZ,0.0693069306930693,0.07,0.06,0.07,0.06
7,7,TMUS,0.0495049504950495,0.05,0.05,0.06,0.05
8,8,CHTR,0.0495049504950495,0.05,0.05,0.03,0.05
9,9,EA,0.0396039603960396,0.04,0.04,0.05,0.04
10,10,TTWO,0.0297029702970297,0.03,0.03,0.04,0.04
11,11,OMC,0.0198019801980198,0.02,0.02,0.02,0.03
12,12,MTCH,0.0099009900990099,0.02,0.03,0.01,0.03
13,13,IPG,0.0099009900990099,0.02,0.01,0.02,0.02
