,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,JNJ,0.1052631578947368,0.0909090909090908,0.0990099009900989,0.1,0.1142857142857142
1,UNH,0.1052631578947368,0.109090909090909,0.1188118811881187,0.1,0.1142857142857142
2,PFE,0.0631578947368421,0.0727272727272727,0.0792079207920792,0.08,0.0761904761904761
3,ABT,0.0631578947368421,0.0636363636363636,0.0792079207920792,0.07,0.0761904761904761
4,MRK,0.0631578947368421,0.0727272727272727,0.0693069306930693,0.07,0.0761904761904761
5,AMGN,0.0526315789473684,0.0545454545454545,0.0594059405940593,0.06,0.0666666666666666
6,LLY,0.0631578947368421,0.0818181818181817,0.089108910891089,0.08,0.0857142857142856
7,BMY,0.0421052631578947,0.0636363636363636,0.0693069306930693,0.06,0.0666666666666666
8,ABBV,0.0421052631578947,0.0818181818181817,0.0792079207920792,0.07,0.0666666666666666
9,TMO,0.0526315789473684,0.0636363636363636,0.0594059405940593,0.07,0.0571428571428571
10,DHR,0.0526315789473684,0.0636363636363636,0.0495049504950494,0.06,0.0476190476190476
11,ISRG,0.0842105263157894,0.0454545454545454,0.0396039603960396,0.05,0.038095238095238
12,GILD,0.0526315789473684,0.0454545454545454,0.0396039603960396,0.04,0.0285714285714285
13,REGN,0.1052631578947368,0.0454545454545454,0.0297029702970296,0.04,0.0285714285714285
14,MDT,0.0526315789473684,0.0454545454545454,0.0396039603960396,0.05,0.0571428571428571
