,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,LIN,0.1,0.1111111111111111,0.1219512195121951,0.12,0.0980392156862745
1,SHW,0.08,0.1111111111111111,0.097560975609756,0.1,0.0784313725490195
2,APD,0.09,0.1111111111111111,0.097560975609756,0.1,0.0784313725490195
3,ECL,0.07,0.1111111111111111,0.097560975609756,0.08,0.0686274509803921
4,PPG,0.06,0.0277777777777777,0.073170731707317,0.08,0.0686274509803921
5,FCX,0.07,0.1111111111111111,0.0853658536585365,0.08,0.088235294117647
6,IP,0.05,0.0277777777777777,0.048780487804878,0.04,0.0490196078431372
7,NUE,0.08,0.1111111111111111,0.0609756097560975,0.07,0.088235294117647
8,DOW,0.06,0.0277777777777777,0.048780487804878,0.07,0.0588235294117646
9,EMN,0.06,0.0277777777777777,0.0365853658536585,0.05,0.0490196078431372
10,ALB,0.1,0.1111111111111111,0.0853658536585365,0.1,0.0980392156862745
11,NEM,0.06,0.0277777777777777,0.0609756097560975,0.06,0.0588235294117646
12,WRK,0.04,0.0277777777777777,0.024390243902439,0.02,0.0392156862745097
13,BALL,0.05,0.0277777777777777,0.0365853658536585,0.02,0.0490196078431372
14,MLM,0.03,0.0277777777777777,0.024390243902439,0.01,0.0294117647058823
