,Unnamed: 0,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,0,EQIX,0.1363636363636363,0.1,0.11,0.1089108910891088,0.11
1,1,AMT,0.1181818181818181,0.1,0.1,0.1188118811881187,0.12
2,2,DLR,0.109090909090909,0.08,0.09,0.089108910891089,0.09
3,3,PLD,0.1272727272727272,0.11,0.12,0.1089108910891088,0.11
4,4,AVB,0.0727272727272727,0.06,0.06,0.0594059405940593,0.05
5,5,EQR,0.0636363636363636,0.05,0.06,0.0495049504950494,0.04
6,6,WELL,0.0727272727272727,0.07,0.06,0.0792079207920792,0.05
7,7,VTR,0.0545454545454545,0.05,0.05,0.0495049504950494,0.04
8,8,SPG,0.0636363636363636,0.08,0.07,0.0693069306930693,0.08
9,9,O,0.0454545454545454,0.05,0.05,0.0495049504950494,0.06
10,10,PSA,0.0454545454545454,0.07,0.05,0.0594059405940593,0.07
11,11,ARE,0.0363636363636363,0.04,0.04,0.0297029702970296,0.04
12,12,WY,0.0272727272727272,0.03,0.03,0.0198019801980198,0.03
13,13,CCI,0.0181818181818181,0.09,0.08,0.0990099009900989,0.1
14,14,CBRE,0.009090909090909,0.02,0.03,0.0099009900990099,0.01
