Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
LIN,0.1,0.05,0.1,0.16,0.032
APD,0.08,0.13,0.08,0.11,0.053
DOW,0.12,0.1,0.12,0.13,0.0914
NUE,0.15,0.08,0.15,0.11,0.0753
FCX,0.07,0.02,0.07,0.09,0.0507
PPG,0.09,0.02,0.09,0.08,0.1066
NEM,0.06,0.01,0.06,0.07,0.0243
EMN,0.05,0.12,0.05,0.05,0.0509
ECL,0.04,0.08,0.04,0.04,0.0638
IFF,0.08,0.1,0.08,0.04,0.0795
MOS,0.07,0.0,0.07,0.03,0.1368
VMC,0.03,0.13,0.03,0.03,0.0348
LYB,0.02,0.11,0.02,0.02,0.0896
PKG,0.02,0.03,0.02,0.02,0.1032
AMCR,0.01,0.02,0.01,0.01,0.0081
