Index,Weight,Market Cap
NVDA,0.1011673151750972,2047.93B
CRM,0.0603112840466925,307.86B
NOW,0.0291828793774319,159.25B
INTC,0.036964980544747,186.35B
AAPL,0.1750972762645914,2768.50B
MSFT,0.1614785992217898,3083.93B
AMD,0.0817120622568093,325.82B
ADBE,0.0661478599221789,257.54B
CSCO,0.0311284046692606,194.89B
IBM,0.0194552529182879,171.52B
ACN,0.0583657587548638,238.81B
ORCL,0.0428015564202334,312.17B
QCOM,0.0525291828793774,182.03B
AVGO,0.0505836575875486,656.94B
TXN,0.0330739299610894,155.97B
