model,sector,effective_number_of_bets
gpt-3.5-turbo-0613,energy,0.9999999999999992
gpt-4,energy,0.999999999999999
gpt-4-1106-preview,energy,0.9999999999999993
bard,energy,1.0000000000000002
gpt-3.5-turbo-0613,materials,0.9999999999999996
gpt-4,materials,1.0000000000000002
gpt-4-1106-preview,materials,0.9999999999999993
bard,materials,0.9999999999999991
gpt-3.5-turbo-0613,industrials,1.0
gpt-4,industrials,1.0
gpt-4-1106-preview,industrials,0.9999999999999991
bard,industrials,1.0000000000000004
gpt-3.5-turbo-0613,consumer_discretionary,0.9999999999999993
gpt-4,consumer_discretionary,0.9999999999999999
gpt-4-1106-preview,consumer_discretionary,0.9999999999999997
bard,consumer_discretionary,0.9999999999999993
gpt-3.5-turbo-0613,consumer_staples,0.9999999999999996
gpt-4,consumer_staples,1.0
gpt-4-1106-preview,consumer_staples,0.9999999999999987
bard,consumer_staples,0.9999999999999996
gpt-3.5-turbo-0613,health_care,0.9999999999999994
gpt-4,health_care,0.9999999999999998
gpt-4-1106-preview,health_care,0.9999999999999993
bard,health_care,1.0000000000000004
gpt-3.5-turbo-0613,financials,1.0
gpt-4,financials,1.0
gpt-4-1106-preview,financials,0.9999999999999993
bard,financials,0.9999999999999998
gpt-3.5-turbo-0613,information_technology,1.0000000000000004
gpt-4,information_technology,0.9999999999999996
gpt-4-1106-preview,information_technology,0.9999999999999992
bard,information_technology,1.0
gpt-3.5-turbo-0613,communication_services,0.9999999999999997
gpt-4,communication_services,1.0000000000000004
gpt-4-1106-preview,communication_services,0.9999999999999992
bard,communication_services,0.9999999999999996
gpt-3.5-turbo-0613,utilities,1.0000000000000004
gpt-4,utilities,0.9999999999999993
gpt-4-1106-preview,utilities,1.0
bard,utilities,0.9999999999999996
gpt-3.5-turbo-0613,real_estate,0.9999999999999991
gpt-4,real_estate,0.9999999999999998
gpt-4-1106-preview,real_estate,1.0000000000000002
bard,real_estate,0.9999999999999997
