model,sector,effective_rank
gpt-3.5-turbo-0613,energy,9.508468974412914
gpt-4,energy,9.758390395457317
gpt-4-1106-preview,energy,9.607238544598085
bard,energy,9.814037024935278
gpt-3.5-turbo-0613,materials,9.72383375071626
gpt-4,materials,9.784905336650183
gpt-4-1106-preview,materials,9.974864647502214
bard,materials,10.411490000692902
gpt-3.5-turbo-0613,industrials,11.556798288059607
gpt-4,industrials,10.94797227657276
gpt-4-1106-preview,industrials,10.809188154603037
bard,industrials,10.87841727028904
gpt-3.5-turbo-0613,consumer_discretionary,8.504144648040947
gpt-4,consumer_discretionary,8.957197322395436
gpt-4-1106-preview,consumer_discretionary,8.989413733446826
bard,consumer_discretionary,9.32190001896318
gpt-3.5-turbo-0613,consumer_staples,7.692093484090776
gpt-4,consumer_staples,7.37438451573772
gpt-4-1106-preview,consumer_staples,7.295155964692825
bard,consumer_staples,10.94476780276401
gpt-3.5-turbo-0613,health_care,11.503103306756481
gpt-4,health_care,10.737321150774687
gpt-4-1106-preview,health_care,10.548387311537473
bard,health_care,10.232335275433378
gpt-3.5-turbo-0613,financials,9.182986776350816
gpt-4,financials,8.509317971830471
gpt-4-1106-preview,financials,8.563815530968677
bard,financials,8.651912117196385
gpt-3.5-turbo-0613,information_technology,10.046483823564968
gpt-4,information_technology,10.13520233033158
gpt-4-1106-preview,information_technology,10.135202330331571
bard,information_technology,10.136698825744627
gpt-3.5-turbo-0613,communication_services,8.549148166471737
gpt-4,communication_services,9.564497612076686
gpt-4-1106-preview,communication_services,9.715526840935262
bard,communication_services,9.604513199036907
gpt-3.5-turbo-0613,utilities,9.85346186635249
gpt-4,utilities,10.115249316302382
gpt-4-1106-preview,utilities,10.135987626476215
bard,utilities,8.628446919513188
gpt-3.5-turbo-0613,real_estate,10.178833344940617
gpt-4,real_estate,10.292191453147293
gpt-4-1106-preview,real_estate,11.129195562517015
bard,real_estate,10.122441926656723
