model,sector,index
gpt-3.5-turbo-0613,energy,0.07753169614319189
gpt-3.5-turbo-0613,materials,0.07101979709900294
gpt-3.5-turbo-0613,industrials,0.06848249864742027
gpt-3.5-turbo-0613,consumer_discretionary,0.09976289956483386
gpt-3.5-turbo-0613,consumer_staples,0.08514520809860293
gpt-3.5-turbo-0613,health_care,0.07864562829611173
gpt-3.5-turbo-0613,financials,0.08343597106144843
gpt-3.5-turbo-0613,information_technology,0.09117847883782411
gpt-3.5-turbo-0613,communication_services,0.0909265667051133
gpt-3.5-turbo-0613,utilities,0.0855826979890944
gpt-3.5-turbo-0613,real_estate,0.07370465245301623
gpt-4,energy,0.09201158561121262
gpt-4,materials,0.07052311665406895
gpt-4,industrials,0.068388620569577
gpt-4,consumer_discretionary,0.09654910941670711
gpt-4,consumer_staples,0.09136038638941689
gpt-4,health_care,0.07735073272749707
gpt-4,financials,0.07759017393158703
gpt-4,information_technology,0.09260806130063355
gpt-4,communication_services,0.09683641975308627
gpt-4,utilities,0.099992
gpt-4,real_estate,0.07651672433679348
gpt-4-1106-preview,energy,0.08507787165649823
gpt-4-1106-preview,materials,0.07734693514216018
gpt-4-1106-preview,industrials,0.06847928617985564
gpt-4-1106-preview,consumer_discretionary,0.09331512451171856
gpt-4-1106-preview,consumer_staples,0.07912100025195247
gpt-4-1106-preview,health_care,0.07182493939591213
gpt-4-1106-preview,financials,0.08167740025678001
gpt-4-1106-preview,information_technology,0.09687504731335814
gpt-4-1106-preview,communication_services,0.10732626563240769
gpt-4-1106-preview,utilities,0.0740307616915588
gpt-4-1106-preview,real_estate,0.07989016586180343
bard,energy,0.08934562961443014
bard,materials,0.0772938791703945
bard,industrials,0.07151687581500096
bard,consumer_discretionary,0.07483784184307417
bard,consumer_staples,0.07187376250408903
bard,health_care,0.07447693845375346
bard,financials,0.08362406563488928
bard,information_technology,0.08631692242199822
bard,communication_services,0.09483999999999997
bard,utilities,0.08020321542430897
bard,real_estate,0.07813599999999997
claude,energy,0.09526467765189682
claude,materials,0.07645599999999995
claude,industrials,0.07938399999999995
claude,consumer_discretionary,0.12899421034848377
claude,consumer_staples,0.0873002234060834
claude,health_care,0.08486400000000001
claude,financials,0.08428437643846907
claude,information_technology,0.1466864815085629
claude,communication_services,0.11776492500735218
claude,utilities,0.09207199999999999
claude,real_estate,0.08001599999999988
gpt-3.5-turbo-0613,energy,0.07753169614319189
gpt-3.5-turbo-0613,materials,0.07101979709900294
gpt-3.5-turbo-0613,industrials,0.06848249864742027
gpt-3.5-turbo-0613,consumer_discretionary,0.09976289956483386
gpt-3.5-turbo-0613,consumer_staples,0.08514520809860293
gpt-3.5-turbo-0613,health_care,0.07864562829611173
gpt-3.5-turbo-0613,financials,0.08343597106144843
gpt-3.5-turbo-0613,information_technology,0.09117847883782411
gpt-3.5-turbo-0613,communication_services,0.0909265667051133
gpt-3.5-turbo-0613,utilities,0.0855826979890944
gpt-3.5-turbo-0613,real_estate,0.07370465245301623
gpt-4,energy,0.09201158561121262
gpt-4,materials,0.07052311665406895
gpt-4,industrials,0.068388620569577
gpt-4,consumer_discretionary,0.09654910941670711
gpt-4,consumer_staples,0.09136038638941689
gpt-4,health_care,0.07735073272749707
gpt-4,financials,0.07759017393158703
gpt-4,information_technology,0.09260806130063355
gpt-4,communication_services,0.09683641975308627
gpt-4,utilities,0.099992
gpt-4,real_estate,0.07651672433679348
gpt-4-1106-preview,energy,0.08507787165649823
gpt-4-1106-preview,materials,0.07734693514216018
gpt-4-1106-preview,industrials,0.06847928617985564
gpt-4-1106-preview,consumer_discretionary,0.09331512451171856
gpt-4-1106-preview,consumer_staples,0.07912100025195247
gpt-4-1106-preview,health_care,0.07182493939591213
gpt-4-1106-preview,financials,0.08167740025678001
gpt-4-1106-preview,information_technology,0.09687504731335814
gpt-4-1106-preview,communication_services,0.10732626563240769
gpt-4-1106-preview,utilities,0.0740307616915588
gpt-4-1106-preview,real_estate,0.07989016586180343
bard,energy,0.08934562961443014
bard,materials,0.0772938791703945
bard,industrials,0.07151687581500096
bard,consumer_discretionary,0.07483784184307417
bard,consumer_staples,0.07187376250408903
bard,health_care,0.07447693845375346
bard,financials,0.08362406563488928
bard,information_technology,0.08631692242199822
bard,communication_services,0.09483999999999997
bard,utilities,0.08020321542430897
bard,real_estate,0.07813599999999997
claude,energy,0.09526467765189682
claude,materials,0.07645599999999995
claude,industrials,0.07938399999999995
claude,consumer_discretionary,0.12899421034848377
claude,consumer_staples,0.0873002234060834
claude,health_care,0.08486400000000001
claude,financials,0.08428437643846907
claude,information_technology,0.1466864815085629
claude,communication_services,0.11776492500735218
claude,utilities,0.09207199999999999
claude,real_estate,0.08001599999999988
gpt-3.5-turbo-0613,energy,0.07753169614319189
gpt-3.5-turbo-0613,materials,0.07101979709900294
gpt-3.5-turbo-0613,industrials,0.06848249864742027
gpt-3.5-turbo-0613,consumer_discretionary,0.09976289956483386
gpt-3.5-turbo-0613,consumer_staples,0.08514520809860293
gpt-3.5-turbo-0613,health_care,0.07864562829611173
gpt-3.5-turbo-0613,financials,0.08343597106144843
gpt-3.5-turbo-0613,information_technology,0.09117847883782411
gpt-3.5-turbo-0613,communication_services,0.0909265667051133
gpt-3.5-turbo-0613,utilities,0.0855826979890944
gpt-3.5-turbo-0613,real_estate,0.07370465245301623
gpt-4,energy,0.09201158561121262
gpt-4,materials,0.07052311665406895
gpt-4,industrials,0.068388620569577
gpt-4,consumer_discretionary,0.09654910941670711
gpt-4,consumer_staples,0.09136038638941689
gpt-4,health_care,0.07735073272749707
gpt-4,financials,0.07759017393158703
gpt-4,information_technology,0.09260806130063355
gpt-4,communication_services,0.09683641975308627
gpt-4,utilities,0.099992
gpt-4,real_estate,0.07651672433679348
gpt-4-1106-preview,energy,0.08507787165649823
gpt-4-1106-preview,materials,0.07734693514216018
gpt-4-1106-preview,industrials,0.06847928617985564
gpt-4-1106-preview,consumer_discretionary,0.09331512451171856
gpt-4-1106-preview,consumer_staples,0.07912100025195247
gpt-4-1106-preview,health_care,0.07182493939591213
gpt-4-1106-preview,financials,0.08167740025678001
gpt-4-1106-preview,information_technology,0.09687504731335814
gpt-4-1106-preview,communication_services,0.10732626563240769
gpt-4-1106-preview,utilities,0.0740307616915588
gpt-4-1106-preview,real_estate,0.07989016586180343
bard,energy,0.08934562961443014
bard,materials,0.0772938791703945
bard,industrials,0.07151687581500096
bard,consumer_discretionary,0.07483784184307417
bard,consumer_staples,0.07187376250408903
bard,health_care,0.07447693845375346
bard,financials,0.08362406563488928
bard,information_technology,0.08631692242199822
bard,communication_services,0.09483999999999997
bard,utilities,0.08020321542430897
bard,real_estate,0.07813599999999997
claude,energy,0.09526467765189682
claude,materials,0.07645599999999995
claude,industrials,0.07938399999999995
claude,consumer_discretionary,0.12899421034848377
claude,consumer_staples,0.0873002234060834
claude,health_care,0.08486400000000001
claude,financials,0.08428437643846907
claude,information_technology,0.1466864815085629
claude,communication_services,0.11776492500735218
claude,utilities,0.09207199999999999
claude,real_estate,0.08001599999999988
