model,sector,enb
gpt-3.5-turbo-0613,energy,2.213522160856631
gpt-4,energy,2.157226501100918
gpt-4-1106-preview,energy,2.1539990490673255
bard,energy,2.101135803431828
gpt-3.5-turbo-0613,materials,4.816154198217831
gpt-4,materials,4.373199604153316
gpt-4-1106-preview,materials,4.711261751035249
bard,materials,4.575912816034112
gpt-3.5-turbo-0613,industrials,4.7395232845479525
gpt-4,industrials,4.998753698301021
gpt-4-1106-preview,industrials,4.870063749598714
bard,industrials,5.410023684212019
gpt-3.5-turbo-0613,consumer_discretionary,4.614266377577882
gpt-4,consumer_discretionary,5.667025612895023
gpt-4-1106-preview,consumer_discretionary,5.197873704135974
bard,consumer_discretionary,5.120719867910535
gpt-3.5-turbo-0613,consumer_staples,4.6730870626481975
gpt-4,consumer_staples,4.9727380075010945
gpt-4-1106-preview,consumer_staples,4.356149067874652
bard,consumer_staples,5.33786226981716
gpt-3.5-turbo-0613,health_care,7.485315345950242
gpt-4,health_care,7.360391185776239
gpt-4-1106-preview,health_care,7.472066919162385
bard,health_care,6.880518631930893
gpt-3.5-turbo-0613,financials,2.963299394816771
gpt-4,financials,3.7966323582953314
gpt-4-1106-preview,financials,3.358998249204177
bard,financials,3.106222030974159
gpt-3.5-turbo-0613,information_technology,3.599749050982664
gpt-4,information_technology,3.8305314768856094
gpt-4-1106-preview,information_technology,3.830531476885617
bard,information_technology,4.886733242624079
gpt-3.5-turbo-0613,communication_services,5.995010647803278
gpt-4,communication_services,6.548957777478356
gpt-4-1106-preview,communication_services,6.779518385028395
bard,communication_services,6.302782472939873
gpt-3.5-turbo-0613,utilities,1.7788670504264044
gpt-4,utilities,1.8151822901101162
gpt-4-1106-preview,utilities,1.7903984179725712
bard,utilities,2.3870091478389637
gpt-3.5-turbo-0613,real_estate,2.7509226751922826
gpt-4,real_estate,2.7438571228358257
gpt-4-1106-preview,real_estate,2.844921341063349
bard,real_estate,2.7345691795753324
gpt-3.5-turbo-0613,energy,2.213522160856631
gpt-4,energy,2.157226501100918
gpt-4-1106-preview,energy,2.1539990490673255
bard,energy,2.101135803431828
gpt-3.5-turbo-0613,materials,4.816154198217831
gpt-4,materials,4.373199604153316
gpt-4-1106-preview,materials,4.711261751035249
bard,materials,4.575912816034112
gpt-3.5-turbo-0613,industrials,4.7395232845479525
gpt-4,industrials,4.998753698301021
gpt-4-1106-preview,industrials,4.870063749598714
bard,industrials,5.410023684212019
gpt-3.5-turbo-0613,consumer_discretionary,4.614266377577882
gpt-4,consumer_discretionary,5.667025612895023
gpt-4-1106-preview,consumer_discretionary,5.197873704135974
bard,consumer_discretionary,5.120719867910535
gpt-3.5-turbo-0613,consumer_staples,4.6730870626481975
gpt-4,consumer_staples,4.9727380075010945
gpt-4-1106-preview,consumer_staples,4.356149067874652
bard,consumer_staples,5.33786226981716
gpt-3.5-turbo-0613,health_care,7.485315345950242
gpt-4,health_care,7.360391185776239
gpt-4-1106-preview,health_care,7.472066919162385
bard,health_care,6.880518631930893
gpt-3.5-turbo-0613,financials,2.963299394816771
gpt-4,financials,3.7966323582953314
gpt-4-1106-preview,financials,3.358998249204177
bard,financials,3.106222030974159
gpt-3.5-turbo-0613,information_technology,3.599749050982664
gpt-4,information_technology,3.8305314768856094
gpt-4-1106-preview,information_technology,3.830531476885617
bard,information_technology,4.886733242624079
gpt-3.5-turbo-0613,communication_services,5.995010647803278
gpt-4,communication_services,6.548957777478356
gpt-4-1106-preview,communication_services,6.779518385028395
bard,communication_services,6.302782472939873
gpt-3.5-turbo-0613,utilities,1.7788670504264044
gpt-4,utilities,1.8151822901101162
gpt-4-1106-preview,utilities,1.7903984179725712
bard,utilities,2.3870091478389637
gpt-3.5-turbo-0613,real_estate,2.7509226751922826
gpt-4,real_estate,2.7438571228358257
gpt-4-1106-preview,real_estate,2.844921341063349
bard,real_estate,2.7345691795753324
gpt-3.5-turbo-0613,energy,2.213522160856631
gpt-4,energy,2.157226501100918
gpt-4-1106-preview,energy,2.1539990490673255
bard,energy,2.101135803431828
gpt-3.5-turbo-0613,materials,4.816154198217831
gpt-4,materials,4.373199604153316
gpt-4-1106-preview,materials,4.711261751035249
bard,materials,4.575912816034112
gpt-3.5-turbo-0613,industrials,4.7395232845479525
gpt-4,industrials,4.998753698301021
gpt-4-1106-preview,industrials,4.870063749598714
bard,industrials,5.410023684212019
gpt-3.5-turbo-0613,consumer_discretionary,4.614266377577882
gpt-4,consumer_discretionary,5.667025612895023
gpt-4-1106-preview,consumer_discretionary,5.197873704135974
bard,consumer_discretionary,5.120719867910535
gpt-3.5-turbo-0613,consumer_staples,4.6730870626481975
gpt-4,consumer_staples,4.9727380075010945
gpt-4-1106-preview,consumer_staples,4.356149067874652
bard,consumer_staples,5.33786226981716
gpt-3.5-turbo-0613,health_care,7.485315345950242
gpt-4,health_care,7.360391185776239
gpt-4-1106-preview,health_care,7.472066919162385
