model,sector,volatility
GPT4,real_estate,0.00832
GPT4preview,real_estate,0.00824
GPT3,real_estate,0.00844
bard,real_estate,0.00919
GPT4,energy,0.01273
GPT4preview,energy,0.01363
GPT3,energy,0.01349
bard,energy,0.01291
GPT4,materials,0.00791
GPT4preview,materials,0.00899
GPT3,materials,0.0072
bard,materials,0.00722
GPT4,industrials,0.00715
GPT4preview,industrials,0.00672
GPT3,industrials,0.00783
bard,industrials,0.00802
GPT4,consumer_discretionary,0.01026
GPT4preview,consumer_discretionary,0.01211
GPT3,consumer_discretionary,0.01378
bard,consumer_discretionary,0.0102
GPT4,consumer_staples,0.00683
GPT4preview,consumer_staples,0.00933
GPT3,consumer_staples,0.0094
bard,consumer_staples,0.00809
GPT4,health_care,0.00446
GPT4preview,health_care,0.0043
GPT3,health_care,0.0049
bard,health_care,0.00476
GPT4,financials,0.0085
GPT4preview,financials,0.00895
GPT3,financials,0.00941
bard,financials,0.00926
GPT4,information_technology,0.02046
GPT4preview,information_technology,0.02004
GPT3,information_technology,0.02082
bard,information_technology,0.02033
GPT4,communication_services,0.00967
GPT4preview,communication_services,0.0113
GPT3,communication_services,0.01115
bard,communication_services,0.01204
GPT4,utilities,0.01151
GPT4preview,utilities,0.01058
GPT3,utilities,0.01128
bard,utilities,0.0105
GPT4,materials,0.00711
GPT4preview,materials,0.00807
GPT3,materials,0.00647
bard,materials,0.00649
GPT4,materials,0.00711
GPT4preview,materials,0.00807
GPT3,materials,0.00647
bard,materials,0.00649
claude,materials,0.00812
GPT4,industrials,0.00642
GPT4preview,industrials,0.00604
GPT3,industrials,0.00704
bard,industrials,0.00721
claude,industrials,0.0062
GPT4,consumer_discretionary,0.00922
GPT4preview,consumer_discretionary,0.01088
GPT3,consumer_discretionary,0.01238
bard,consumer_discretionary,0.00917
claude,consumer_discretionary,0.01253
GPT4,consumer_staples,0.00614
GPT4preview,consumer_staples,0.00838
GPT3,consumer_staples,0.00844
bard,consumer_staples,0.00727
claude,consumer_staples,0.00622
GPT4,energy,0.01144
GPT4preview,energy,0.01225
GPT3,energy,0.01212
bard,energy,0.0116
claude,energy,0.01112
GPT4,health_care,0.00401
GPT4preview,health_care,0.00386
GPT3,health_care,0.00441
bard,health_care,0.00428
claude,health_care,0.00428
GPT4,financials,0.00764
GPT4preview,financials,0.00805
GPT3,financials,0.00845
bard,financials,0.00832
claude,financials,0.00938
GPT4,information_technology,0.01839
GPT4preview,information_technology,0.01801
GPT3,information_technology,0.01871
bard,information_technology,0.01827
claude,information_technology,0.0201
GPT4,communication_services,0.00869
GPT4preview,communication_services,0.01015
GPT3,communication_services,0.01002
bard,communication_services,0.01082
claude,communication_services,0.01069
GPT4,utilities,0.01035
GPT4preview,utilities,0.0095
GPT3,utilities,0.01014
bard,utilities,0.00943
claude,utilities,0.01065
GPT4,real_estate,0.00748
GPT4preview,real_estate,0.0074
GPT3,real_estate,0.00758
bard,real_estate,0.00826
claude,real_estate,0.00723
GPT4,real_estate,0.00748
GPT4preview,real_estate,0.0074
GPT3,real_estate,0.00758
bard,real_estate,0.00826
claude,real_estate,0.00723
GPT4,energy,0.01144
GPT4preview,energy,0.01225
GPT3,energy,0.01212
bard,energy,0.0116
claude,energy,0.01112
GPT4,materials,0.00711
GPT4preview,materials,0.00807
GPT3,materials,0.00647
bard,materials,0.00649
claude,materials,0.00812
GPT4,industrials,0.00642
GPT4preview,industrials,0.00604
GPT3,industrials,0.00704
bard,industrials,0.00721
claude,industrials,0.0062
GPT4,consumer_discretionary,0.00922
GPT4preview,consumer_discretionary,0.01088
GPT3,consumer_discretionary,0.01238
bard,consumer_discretionary,0.00917
claude,consumer_discretionary,0.01253
GPT4,consumer_staples,0.00614
GPT4preview,consumer_staples,0.00838
GPT3,consumer_staples,0.00844
bard,consumer_staples,0.00727
claude,consumer_staples,0.00622
GPT4,health_care,0.00401
GPT4preview,health_care,0.00386
GPT3,health_care,0.00441
bard,health_care,0.00428
claude,health_care,0.00428
GPT4,financials,0.00764
GPT4preview,financials,0.00805
GPT3,financials,0.00845
bard,financials,0.00832
claude,financials,0.00938
GPT4,information_technology,0.01839
GPT4preview,information_technology,0.01801
GPT3,information_technology,0.01871
bard,information_technology,0.01827
claude,information_technology,0.0201
GPT4,communication_services,0.00869
GPT4preview,communication_services,0.01015
GPT3,communication_services,0.01002
bard,communication_services,0.01082
claude,communication_services,0.01069
GPT4,utilities,0.01035
GPT4preview,utilities,0.0095
GPT3,utilities,0.01014
bard,utilities,0.00943
claude,utilities,0.01065
GPT4,real_estate,0.00748
GPT4preview,real_estate,0.0074
GPT3,real_estate,0.00758
bard,real_estate,0.00826
claude,real_estate,0.00723
