sector,volatility
energy,0.06816
materials,0.06203
industrials,0.04985
consumer_discretionary,0.07863
consumer_staples,0.04435
health_care,0.06421
financials,0.05242
information_technology,0.14059
communication_services,0.07337
utilities,0.03584
real_estate,0.04625
real_estate,0.04625
materials,0.05575
industrials,0.0448
consumer_discretionary,0.07066
consumer_staples,0.03986
energy,0.06126
health_care,0.05771
financials,0.04711
information_technology,0.12635
communication_services,0.06594
utilities,0.03221
real_estate,0.04157
materials,0.05575
industrials,0.0448
consumer_discretionary,0.07066
consumer_staples,0.03986
health_care,0.05771
financials,0.04711
information_technology,0.12635
communication_services,0.06594
utilities,0.03221
real_estate,0.04157
