sector,model,sharpe_ratio
energy,gpt-3.5-turbo-0613,-0.6550038197883431
energy,gpt-4,-0.5417837533355934
energy,gpt-4-1106-preview,-0.6668268238549508
energy,bard,-0.6668268238549508
materials,gpt-3.5-turbo-0613,-0.4937117201194174
materials,gpt-4,-0.639749584612834
materials,gpt-4-1106-preview,-0.7613707934423439
materials,bard,-0.7613707934423439
industrials,gpt-3.5-turbo-0613,-0.5855393916522962
industrials,gpt-4,-0.9858064855348787
industrials,gpt-4-1106-preview,-0.6820953339970505
industrials,bard,-0.6820953339970505
consumer_discretionary,gpt-3.5-turbo-0613,-0.5120062126047111
consumer_discretionary,gpt-4,-0.5502953222456559
consumer_discretionary,gpt-4-1106-preview,-0.5102243903836703
consumer_discretionary,bard,-0.5102243903836703
consumer_staples,gpt-3.5-turbo-0613,0.6929227662302387
consumer_staples,gpt-4,0.9255079809910043
consumer_staples,gpt-4-1106-preview,2.223940945964565
consumer_staples,bard,2.223940945964565
health_care,gpt-3.5-turbo-0613,0.8884200545326255
health_care,gpt-4,0.6780890194896413
health_care,gpt-4-1106-preview,0.7098402086847727
health_care,bard,0.7098402086847727
financials,gpt-3.5-turbo-0613,0.35495486916332974
financials,gpt-4,0.4613539462306324
financials,gpt-4-1106-preview,0.19042088368152568
financials,bard,0.19042088368152568
information_technology,gpt-3.5-turbo-0613,-1.3607823178103213
information_technology,gpt-4,-1.2642869853073877
information_technology,gpt-4-1106-preview,-1.2812552015507637
information_technology,bard,-1.2812552015507637
communication_services,gpt-3.5-turbo-0613,-0.258526695548799
communication_services,gpt-4,0.14120105391948096
communication_services,gpt-4-1106-preview,-0.03479481947333739
communication_services,bard,-0.03479481947333739
utilities,gpt-3.5-turbo-0613,3.3171152536855475
utilities,gpt-4,5.221946463284934
utilities,gpt-4-1106-preview,3.962920998723459
utilities,bard,3.962920998723459
real_estate,gpt-3.5-turbo-0613,-0.05250849753834806
real_estate,gpt-4,0.14763124192766558
real_estate,gpt-4-1106-preview,0.22562473556501633
real_estate,bard,0.22562473556501633
