sector,model,sharpe_ratio
energy,gpt-3.5-turbo-0613,-0.690011455684166
energy,gpt-4,-0.5754751307169527
energy,gpt-4-1106-preview,-0.7007076928788518
energy,bard,-0.7007076928788518
materials,gpt-3.5-turbo-0613,-0.522920249030674
materials,gpt-4,-0.6705028958982313
materials,gpt-4-1106-preview,-0.7936279972942443
materials,bard,-0.7936279972942443
industrials,gpt-3.5-turbo-0613,-0.6449758928640542
industrials,gpt-4,-1.0380437857312668
industrials,gpt-4-1106-preview,-0.7276458946254866
industrials,bard,-0.7276458946254866
consumer_discretionary,gpt-3.5-turbo-0613,-0.5386873513595417
consumer_discretionary,gpt-4,-0.580060467265099
consumer_discretionary,gpt-4-1106-preview,-0.5392564681934426
consumer_discretionary,bard,-0.5392564681934426
consumer_staples,gpt-3.5-turbo-0613,0.6216955227241346
consumer_staples,gpt-4,0.8654003384878038
consumer_staples,gpt-4-1106-preview,2.0778553366692107
consumer_staples,bard,2.0778553366692107
health_care,gpt-3.5-turbo-0613,0.8485593310757371
health_care,gpt-4,0.6420147228607415
health_care,gpt-4-1106-preview,0.6804203769006165
health_care,bard,0.6804203769006165
financials,gpt-3.5-turbo-0613,0.2960956012022341
financials,gpt-4,0.4097715671969941
financials,gpt-4-1106-preview,0.14812775865903702
financials,bard,0.14812775865903702
information_technology,gpt-3.5-turbo-0613,-1.4007531049766282
information_technology,gpt-4,-1.3060242064948315
information_technology,gpt-4-1106-preview,-1.313833480669731
information_technology,bard,-1.313833480669731
communication_services,gpt-3.5-turbo-0613,-0.2914425988702251
communication_services,gpt-4,0.10444906516484732
communication_services,gpt-4-1106-preview,-0.056327234389172226
communication_services,bard,-0.056327234389172226
utilities,gpt-3.5-turbo-0613,3.2239292174958667
utilities,gpt-4,5.104817136981084
utilities,gpt-4-1106-preview,3.8373541323199465
utilities,bard,3.8373541323199465
real_estate,gpt-3.5-turbo-0613,-0.09478146741314027
real_estate,gpt-4,0.10382672015371311
real_estate,gpt-4-1106-preview,0.1840227088833074
real_estate,bard,0.1840227088833074
energy,gpt-3.5-turbo-0613,-0.690011455684166
energy,gpt-4,-0.5754751307169527
energy,gpt-4-1106-preview,-0.7007076928788518
energy,bard,-0.7007076928788518
energy,claude,-0.7007076928788518
materials,gpt-3.5-turbo-0613,-0.522920249030674
materials,gpt-4,-0.6705028958982313
materials,gpt-4-1106-preview,-0.7936279972942443
materials,bard,-0.7936279972942443
materials,claude,-0.7936279972942443
industrials,gpt-3.5-turbo-0613,-0.6449758928640542
industrials,gpt-4,-1.0380437857312668
industrials,gpt-4-1106-preview,-0.7276458946254866
industrials,bard,-0.7276458946254866
industrials,claude,-0.7276458946254866
consumer_discretionary,gpt-3.5-turbo-0613,-0.5386873513595417
consumer_discretionary,gpt-4,-0.580060467265099
consumer_discretionary,gpt-4-1106-preview,-0.5392564681934426
consumer_discretionary,bard,-0.5392564681934426
consumer_discretionary,claude,-0.5392564681934426
consumer_staples,gpt-3.5-turbo-0613,0.6216955227241346
consumer_staples,gpt-4,0.8654003384878038
consumer_staples,gpt-4-1106-preview,2.0778553366692107
consumer_staples,bard,2.0778553366692107
consumer_staples,claude,2.0778553366692107
health_care,gpt-3.5-turbo-0613,0.8485593310757371
health_care,gpt-4,0.6420147228607415
health_care,gpt-4-1106-preview,0.6804203769006165
health_care,bard,0.6804203769006165
health_care,claude,0.6804203769006165
financials,gpt-3.5-turbo-0613,0.2960956012022341
financials,gpt-4,0.4097715671969941
financials,gpt-4-1106-preview,0.14812775865903702
financials,bard,0.14812775865903702
financials,claude,0.14812775865903702
information_technology,gpt-3.5-turbo-0613,-1.4007531049766282
information_technology,gpt-4,-1.3060242064948315
information_technology,gpt-4-1106-preview,-1.313833480669731
information_technology,bard,-1.313833480669731
information_technology,claude,-1.313833480669731
communication_services,gpt-3.5-turbo-0613,-0.2914425988702251
communication_services,gpt-4,0.10444906516484732
communication_services,gpt-4-1106-preview,-0.056327234389172226
communication_services,bard,-0.056327234389172226
communication_services,claude,-0.056327234389172226
utilities,gpt-3.5-turbo-0613,3.2239292174958667
utilities,gpt-4,5.104817136981084
utilities,gpt-4-1106-preview,3.8373541323199465
utilities,bard,3.8373541323199465
utilities,claude,3.8373541323199465
real_estate,gpt-3.5-turbo-0613,-0.09478146741314027
real_estate,gpt-4,0.10382672015371311
real_estate,gpt-4-1106-preview,0.1840227088833074
real_estate,bard,0.1840227088833074
real_estate,claude,0.1840227088833074
