sector,gpt4,gpt3,gpt4preview,bard
energy,0.00592,0.00799,0.00812,0.0051
materials,0.0055,0.0039,0.00385,0.00215
industrials,0.00653,0.00579,0.00509,0.00362
consumer_discretionary,0.00895,0.00378,0.00662,0.01132
consumer_staples,0.0039,0.00192,0.0024,0.00272
health_care,0.00299,0.00183,0.00441,0.00165
financials,0.00378,0.00447,0.00314,0.00325
information_technology,0.0088,0.00851,0.00787,0.0082
financials,0.00378,0.00447,0.00314,0.00325
communication_services,0.0148,0.01137,0.01044,0.01174
utilities,0.00091,0.00093,0.00132,0.0027
real_estate,0.01081,0.01101,0.00987,0.01421
energy,0.00592,0.00799,0.00812,0.0051
materials,0.0055,0.0039,0.00385,0.00215
industrials,0.00653,0.00579,0.00509,0.00362
consumer_discretionary,0.00895,0.00378,0.00662,0.01132
consumer_staples,0.0039,0.00192,0.0024,0.00272
health_care,0.00299,0.00183,0.00441,0.00165
financials,0.00378,0.00447,0.00314,0.00325
information_technology,0.0088,0.00851,0.00787,0.0082
communication_services,0.0148,0.01137,0.01044,0.01174
utilities,0.00091,0.00093,0.00132,0.0027
real_estate,0.01081,0.01101,0.00987,0.01421
financials,0.00378,0.00427,0.00314,0.00325
energy,0.00592,0.00799,0.00812,0.0051
materials,0.0055,0.0039,0.00385,0.00215
industrials,0.00653,0.00579,0.00509,0.00362
consumer_discretionary,0.00895,0.00378,0.00662,0.01132
consumer_staples,0.0039,0.00192,0.0024,0.00272
health_care,0.00299,0.00183,0.00441,0.00165
financials,0.00378,0.00447,0.00314,0.00325
information_technology,0.0088,0.00851,0.00787,0.0082
communication_services,0.0148,0.01137,0.01044,0.01174
utilities,0.00091,0.00093,0.00132,0.0027
real_estate,0.01081,0.01101,0.00987,0.01421
real_estate,0.01081,0.01101,0.00987,0.01421

materials,0.00492,0.00349,0.00344,0.00192
industrials,0.00584,0.00518,0.00455,0.00323
industrials,0.00584,0.00518,0.00455,0.00323
consumer_discretionary,0.008,0.00338,0.00592,0.01012
consumer_staples,0.00349,0.00172,0.00215,0.00243
energy,0.0053,0.00715,0.00726,0.00456
health_care,0.00267,0.00163,0.00395,0.00148
financials,0.00338,0.004,0.00281,0.00291
information_technology,0.00787,0.00761,0.00704,0.00733
communication_services,0.01324,0.01017,0.00934,0.0105
utilities,0.00082,0.00083,0.00118,0.00242
real_estate,0.00967,0.00985,0.00883,0.01271
real_estate,0.00967,0.00985,0.00883,0.01271
energy,0.0053,0.00715,0.00726,0.00456
materials,0.00492,0.00349,0.00344,0.00192
industrials,0.00584,0.00518,0.00455,0.00323
consumer_discretionary,0.008,0.00338,0.00592,0.01012
consumer_staples,0.00349,0.00172,0.00215,0.00243
health_care,0.00267,0.00163,0.00395,0.00148
financials,0.00338,0.004,0.00281,0.00291
information_technology,0.00787,0.00761,0.00704,0.00733
communication_services,0.01324,0.01017,0.00934,0.0105
utilities,0.00082,0.00083,0.00118,0.00242
real_estate,0.00967,0.00985,0.00883,0.01271
