,date,AMT,CCI,T,TMUS,VZ
0,01/02/2018,141.13,108.93,5.40051230599353,64.04,53.53
1,01/02/2019,156.74,105.95,4.1393651665555,65.26,56.02
2,01/02/2020,228.5,141.68,5.44535309317355,78.59,61.05
3,01/03/2018,141.68,108.47,5.2757988666491,63.61,52.43
4,01/03/2019,157.68,106.48,4.144970264953,65.02,56.22
5,01/03/2020,228.61,142.46,5.47337858516106,78.17,60.4
6,01/03/2022,286.38,207.74,3.56344130621213,114.43,52.44
7,01/03/2023,214.67,138.31,18.74,139.04,40.12
8,01/04/2018,139.61,107.21,5.32484347762725,63,52.6
9,01/04/2019,158.31,108.07,4.25146713450555,67.49,56.36
10,01/04/2021,219.6,155,4.12535242056174,132.43,58.85
11,01/04/2022,282.77,202.15,3.59286807279902,114.06,53.47
12,01/04/2023,219,143.35,19.14,139.96,41.13
13,01/05/2018,140.51,108.03,5.34446132201851,64.6,52.48
14,01/05/2021,220.71,155.61,4.10012947777298,131.85,58.58
15,01/05/2022,264.57,188.46,3.67274072496343,115.36,54.02
16,01/05/2023,212.13,140.75,19.21,144.48,41.7
17,01/06/2020,228.55,141.26,5.47898368355856,78.62,60.27
18,01/06/2021,214.89,151.43,4.18000212993739,131.53,59.29
19,01/06/2022,264.89,192.5,3.65872797896967,115.57,53.76
20,01/06/2023,218.5,145.71,19.53,148.57,42.19
21,01/07/2019,159.29,108.6,4.3285372374712,68.44,56.72
22,01/07/2020,223.68,138.87,5.5000028025492,78.92,59.6
23,01/07/2021,217.5,152.45,4.1912123267324,133.19,58.53
24,01/07/2022,266.58,194.73,3.68395092175843,109.74,54.24
25,01/08/2018,142.01,108.35,5.35987534261164,65.1,52.39
26,01/08/2019,161.09,107.54,4.38318694684685,67.77,58.38
27,01/08/2020,225.62,139.45,5.51681809774171,79.42,59.71
28,01/08/2021,222.2,154.06,4.06649888738797,135.06,57.8
29,01/09/2018,141.05,107.68,5.25337847305909,65.6,51.61
30,01/09/2019,159.68,105.67,4.21783654412053,67.72,57.05
31,01/09/2020,226.47,140.25,5.4369454455773,79.81,58.85
32,01/09/2023,219.3,145.38,19.04,148.77,41.37
33,01/10/2018,137.61,104.92,5.13146758291342,63.89,51.69
34,01/10/2019,161.86,106.85,4.2598747821018,67.96,57.6
35,01/10/2020,230.8,142.4,5.40471612979166,79,58.99
36,01/10/2022,264.41,190.67,3.70777258994782,105.74,53.87
37,01/10/2023,221.95,147.1,19.47,149.56,41.95
38,01/11/2018,134.97,103.69,5.11184973852216,63.84,52.11
39,01/11/2019,161.4,107.38,4.32573468827245,69,58.02
40,01/11/2021,214.92,153.06,4.04547976839733,132.93,57.46
41,01/11/2022,260.49,187.59,3.69095729475531,110.97,53.59
42,01/11/2023,228.12,151.59,19.41,148.8,41.18
43,01/12/2018,133,103.57,5.17070327169593,63.68,51.86
44,01/12/2021,214.91,150.46,4.02866447320483,128.69,57.26
45,01/12/2022,259.39,189.42,3.70637131534844,110.85,53.45
46,01/12/2023,232.21,151.25,19.41,149.91,41.81
47,01/13/2020,235.41,143.29,5.33885622362101,79.4,59.15
48,01/13/2021,216.46,152.69,4.00904662881357,128.5,57.06
49,01/13/2022,255.44,187.38,3.75541592632659,110.12,53.52
50,01/13/2023,232.81,150.86,19.55,149.68,41.86
51,01/14/2019,161.4,106.42,4.29070282328806,67.91,58.03
52,01/14/2020,233.95,141.95,5.33745494902163,79.8,59.04
53,01/14/2021,214.99,154.76,4.10433330157111,124.69,57.04
54,01/14/2022,250.62,184.15,3.80866436110286,108.52,53.28
55,01/15/2019,163.05,107.4,4.28790027408931,67.14,58.1
56,01/15/2020,235.38,144.05,5.30662690783537,80.27,59.1
57,01/15/2021,219.89,157.25,4.0875180063786,127.28,57.38
58,01/16/2018,135.63,105.32,5.14548032890717,62.97,51.66
59,01/16/2019,163.78,107.33,4.28229517569181,66.69,57.08
60,01/16/2020,232.24,145.23,5.32904730142538,81.44,59.67
61,01/17/2018,136.64,106.03,5.16369689869906,63.76,51.72
62,01/17/2019,164.38,107.62,4.29350537248681,66.25,56.83
63,01/17/2020,233.42,145.25,5.37809191240352,82.15,60.13
64,01/17/2023,231.05,150.31,19.33,146.98,40.85
65,01/18/2018,135.19,106.11,5.20573513668032,62.88,51.55
66,01/18/2019,164.67,107.61,4.33834615966683,66.96,57.09
67,01/18/2022,250.23,184,3.82688093089474,106.91,53.43
68,01/18/2023,225.19,145.25,19.02,145.9,39.97
69,01/19/2018,137.62,107.35,5.21414278427658,63.71,51.91
70,01/19/2021,216.88,159.39,4.05668996519234,129.85,57.05
71,01/19/2022,249,183.19,3.82267710709662,105.38,53.5
72,01/19/2023,223.35,145.24,18.94,145.14,40.06
73,01/20/2021,222.78,159.06,4.05809123979171,132.3,57.26
74,01/20/2022,245.94,181.65,3.78624396751285,104.06,53.4
75,01/20/2023,221.41,148.12,19.23,145.12,40
76,01/21/2020,236.73,148.21,5.39770975679478,82.03,60.32
77,01/21/2021,222.2,159.34,4.03987466999983,130.4,57.27
78,01/21/2022,244.76,182.25,3.72879170893845,101.62,53.16
79,01/22/2018,139.24,108.3,5.30662690783537,63.94,53.46
80,01/22/2019,164.68,109.19,4.28509772489056,66.83,56.99
81,01/22/2020,235.16,148.69,5.47057603596231,82.49,60.48
82,01/22/2021,223.92,158.92,4.05388741599359,130.36,57.47
83,01/23/2018,141.2,110.33,5.21134023507783,64.53,53.23
84,01/23/2019,165.79,110.27,4.3285372374712,67.8,57.76
85,01/23/2020,237.83,149.78,5.41312377738791,82.18,60.51
86,01/23/2023,215.67,144.78,19.1,144.37,39.63
87,01/24/2018,141.76,109.59,5.18751856688844,65,54.22
88,01/24/2019,165.65,111.91,4.28790027408931,68.66,57.07
89,01/24/2020,237.52,149.9,5.39490720759603,81.58,60.28
90,01/24/2022,248.4,183.61,3.69095729475531,106.65,52.96
91,01/24/2023,215.17,145.31,19.16,145.81,40.42
92,01/25/2018,142.96,108.61,5.24777337466159,64.39,54.29
93,01/25/2019,167.41,113.7,4.29630792168557,68.48,56.4
94,01/25/2021,227.51,160.89,4.07911035878235,131.1,58.42
95,01/25/2022,250.53,182.18,3.71057513914657,105.67,52.9
96,01/25/2023,218.66,145.47,20.42,148.07,40.33
97,01/26/2018,145.13,110.63,5.29962053483849,65.28,54.72
98,01/26/2021,232.29,163.45,4.16879193314239,131.41,56.57
99,01/26/2022,242.6,176.9,3.39809090348581,104.22,51.02
100,01/26/2023,221.03,148.13,20,148.69,40.27
