,date,ABNB,APTV,BBWI,BBY,BWA,CCL,CMG,CZR,DHI,DLTR,DPZ,DRI,F,GM,GRMN,HAS,HD,HLT,JCI,LEG,LEN,LOW,LULU,LVS,MAR,MCD,MGM,NCLH,NKE,NVR,PHM,POOL,RCL,RL,ROST,SBUX,SHW,SNA,SWK,TGT,TJX,TPR,TSCO,TSLA,Ticker,ULTA,VFC,WHR,WYNN,YUM
0,01/02/2018,,86.11,48.4155214227971,69.16,45.580985915493,66.75,292.95,31.65,51.06,108.69,186.94,96.32,12.66,41.8,59.54,92.08,188.03,79.68,38.23,47.86,64.84,91.62,79.69,69.1,133.75,173.22,33.51,54.96,63.49,3529.61,33.37,131.17,120.38,104.88,80.5,57.63,137.9,176.89,168.51,67.63,38.345,45.26,75.68,21.3686666666667,,229.63,70.075329566855,167.99,164.3,81.6
1,01/02/2019,,61.15,21.269199676637,53.6,30.9242957746479,49.85,443.36,37.95,35.27,91.2,243.3,99.93,7.9,33.64,62.52,79.98,172.41,70.94,30.5,36.01,39.96,92.27,123.35,54.16,107.46,176.06,25.19,42.38,74.06,2420.82,26.24,145.9,97.79,105.44,83.78,64.32,130.743333333333,147.46,120.73,66.44,44.66,34.41,82.23,20.6746666666667,,247.97,67.1845574387947,107.92,104.4,91.44
2,01/02/2020,,96.31,14.1390460792239,87.31,38.6883802816901,51.31,858.19,59.51,52.57,93.78,293.4,112.26,9.42,37.38,98.34,105.33,219.66,111.45,41.4,50.34,55.81,120.46,233.42,70.8,151.49,200.79,33.66,58.83,102.2,3735.5,38.68,213.81,134.65,118.79,116.83,89.35,190.616666666667,169.0,168.02,126.07,61.7,26.93,93.11,28.684,,254.55,100.23,148.45,143.6,102.17
3,01/03/2018,,87.54,47.0169765561843,68.4,45.8098591549296,66.9,309,31.3,52.86,108.02,191.66,98.54,12.76,42.82,60.27,91.29,189.01,80.85,38.96,47.62,67.23,92.02,78.59,68.32,136.45,172.49,33.33,55.37,63.48,3562.83,34.27,131.03,123.58,101.64,80.45,58.71,138.453333333333,175.19,169.13,67.17,37.655,45.27,76.25,21.15,,245.12,69.4726930320151,168.84,162.52,81.53
4,01/03/2019,,60.42,21.3904607922393,52.5,29.9911971830986,47.37,439.45,37.38,35.13,90.76,239.69,98.32,7.78,32.25,61.39,77.9,168.61,67.3,30.01,35.45,39.55,91.17,124.36,52.22,101.74,174.9,24.7,40.71,72.75,2381.94,25.94,144.37,92.55,100.68,83.08,61.53,126.796666666667,145.46,117.21,65.53,44.19,33.02,80.68,20.024,,243.36,65.2071563088512,107.56,103.39,89.14
5,01/03/2020,,94.1,15.2465642683913,87.18,37.2887323943662,49.89,865.13,58.01,52.96,93.03,294.67,112.38,9.21,36.32,97.71,105.05,218.93,109.99,40.66,49.78,56.47,119.6,232.64,69.72,149.27,200.08,33.29,57.6,101.92,3781.43,39.02,215.04,133.49,118.16,116.86,88.83,188.15,167.09,167.12,124.76,61.24,26.92,91.96,29.534,,250.17,99.6,145.92,141.47,101.85
6,01/03/2022,172.68,166.03,69.62,102.12,39.7711267605634,21.41,1690.67,93.47,105.26,141.17,553.22,148.78,21.77,61.17,133.55,102.17,408.64,154.48,79.35,41.24,111.81,255.51,387.56,38.85,163.91,268.58,45.48,22.18,164.67,5757.01,56.09,550.25,80.83,120.92,113.16,116.68,339.12,213.32,185.93,231.95,75.55,40.81,235.72,399.926666666667,,413.23,73.71,232.7,87.77,136.53
7,01/03/2023,84.9,92.95,43.19,80.41,35.4489436619718,7.97,1371.13,42.26,90.68,140.26,339.27,139.96,11.68,33.82,93.57,61.95,315.91,125.03,64.74,32.63,91.98,199.04,323.38,49.33,147.75,264.33,33.28,11.86,118.75,4589.32,46.2,300.83,48.71,109.11,115.83,100.83,239.37,229.38,76.19,151.73,79.01,38.83,223.18,108.1,,471.63,27.74,143.73,85.61,126.96
8,01/04/2018,,88.91,41.2287793047696,67.28,47.2975352112676,66.85,307.11,32,52.07,108.86,197.29,98.52,12.98,44.14,60.27,90.71,190.51,80.25,39.85,47.73,66.95,92.74,79.85,68.15,135.7,173.7,33.66,54.68,63.44,3520.51,33.83,132.04,122.46,103.52,80.91,58.93,137.7,176.17,169.79,65.85,37.715,45.2,77.62,20.9746666666667,,244.88,71.0546139359699,168.82,163.4,82.36
9,01/04/2019,,62.62,22.4009700889248,52.75,31.1179577464789,50.05,455,39.45,36.75,92.89,243.6,101.4,8.08,33.33,63.72,80.79,173.62,69.94,31.21,36.52,41.21,93.87,128.55,55.17,107.81,178.28,25.77,43.03,74.65,2412.83,27.2,149.28,98.76,104.79,85.34,63.57,130.156666666667,150.77,123.15,66.43,45.4,34.27,82.34,21.1793333333333,,255.03,67.4482109227872,112.82,107.56,91.46
10,01/04/2021,139.15,129.51,32.0129345189976,100.49,33.5035211267606,20.38,1319.12,71.6,67.34,106.94,379.5,116.24,8.52,40.51,118.8,91.96,263.92,107.46,46.18,43.34,74.27,160.38,356.4,57.95,124.77,210.22,29.7,23.73,140.1,4040.65,42.21,356.89,70.72,101.33,117.07,103.1,241.156666666667,166.92,169.35,177.63,66.81,32.71,139.71,243.256666666667,,282.47,85.12,176.9,106.9,105.82
