,date,ADM,BF.B,BG,CAG,CPB,CVS,DG,EL,GIS,HRL,HSY,K,KDP,KHC,KO,KR,KVUE,LW,MDLZ,MKC,MNST,MO,PEP,PM,RMD,SJM,STZ,SYY,TAP,TFX,TSN,WBA,WMT
0,01/02/2018,40.09,54.16,67.99,37.52,47.39,73.52,94.06,127.59,59.04,36.36,112.11,63.8215962441315,95.27,77.02,45.54,28.3,,55.37,42.41,50.615,31.355,70.74,118.06,104.39,85.53,123.72,226.56,60.5,82.24,254.73,80.62,74.95,98.59
1,01/02/2019,40.95,46.07,53.43,21.33,32.26,65.58,107.71,131.94,38.43,41.33,105.44,53.1830985915493,25.28,43.34,46.93,27.3,,73.66,39.89,67.81,24.38,49.31,109.28,67.31,111.77,93.88,164.04,62.05,57.09,252.38,53.35,68.04,93.34
2,01/02/2020,46.11,67.06,57.56,33.63,48.49,74.16,156.54,206.26,52.13,44.31,143.96,63.5117370892019,28.74,31.61,54.99,28.66,,84.09,54.33,83.765,31.85,49.25,135.82,85.19,156.11,102.14,188.3,84.66,53.54,378.49,89.97,59.08,118.94
3,01/03/2018,39.78,54.552,69.45,37.33,46.72,73.2,93.99,129.62,58.73,36,111.64,63.5211267605634,95.32,77.01,45.44,27.85,,56.06,42.58,50.735,31.56,70.48,117.75,104.26,86.42,123.4,227.5,60.63,81.45,256.64,79.71,75.51,99.45
4,01/03/2019,40.77,45.35,53.41,21.56,32.66,65.23,107.84,125.68,39.03,41.68,106.24,53.2769953051643,25.04,43.31,46.64,27.35,,72.98,39.74,68.13,24,49.04,108.26,66.44,106.48,94.59,161.6,61.37,57.87,246.2,54.49,67.33,92.86
5,01/03/2020,46.02,67.34,57.94,33.34,48.43,73.57,155.39,204.7,51.94,44.25,145.26,63.849765258216,28.81,31.24,54.69,28.7,,93.56,54.24,85.1,31.64,49.63,135.63,85.03,155.29,102.29,189.53,84.35,53.38,374.62,90.58,59.08,117.89
6,01/03/2022,67.89,71.59,93.71,34.06,43.74,104.16,235.48,370.29,67.26,49.13,193.21,60.7323943661972,36.71,36.14,59.3,45.19,,63.92,65.97,95.82,48.27,47.97,172.98,95.73,259.51,136.8,252.82,78.95,47.35,334.73,87.8,53.06,144.65
7,01/03/2023,89.65,64.99,95.57,38.83,56.2,92.91,246.72,253.91,83.22,45.75,226.93,66.9201877934272,35.55,40.78,62.95,44.47,,87.25,66.25,83.47,50.66,45.52,179.41,101.3,209.11,158.99,227.6,75.99,49.44,249.85,63.6,37.19,143.6
8,01/04/2018,40.45,54.488,70.47,37.94,47.11,75.13,95.09,130.23,59.41,36.45,112.42,64.5352112676056,95.77,77.91,46.08,26.98,,57.22,42.68,51.055,31.68,70.2,118.33,103.47,86.54,124.39,225.79,60.84,82.0,254.01,80.22,71.6,99.54
9,01/04/2019,41.71,47.06,54.89,21.86,32.84,66.82,108.77,129.92,39.82,41.7,106.08,53.8028169014084,25.56,44.49,47.57,27.66,,75.58,40.84,68.335,24.895,50.3,110.48,69.55,110.19,95.88,166.62,61.85,59.71,251.14,55.16,69.57,93.44
10,01/04/2021,49.87,78.03,65.71,35.99,48.53,69.99,209.71,254.99,59.03,46.31,150.9,57.6995305164319,31.59,34.23,52.76,32.13,,75.67,57.92,93.99,45.3,40.84,144.27,81.5,212.18,115.63,216.74,72.31,45.65,403.13,63.5,41.4,146.53
11,01/04/2022,69.15,71.43,94.53,34.2,44.12,104.29,233.7,371.86,67.89,49.01,194.86,61.3239436619718,37.26,36.91,60.29,46.17,,63.3,66.45,96.5,48.87,49.03,173.23,96.34,253.44,138.57,254.6,80.88,48.9,334.55,89.54,53.48,142.0
