,date,APA,COP,CTRA,CVX,DINO,DVN,EOG,FANG,FTI,HAL,HES,MPC,MRO,OXY,PSX,PXD,SLB,TRGP,VLO,WMB,XOM
0,01/02/2018,44.3,55.32,28.9,127.58,51.3,42.23,109.3,127.88,23.7053571428571,49.61,47.85,67.18,17.38,73.98,101.75,172.92,69.52,49.09,92.8,31.14,85.03
1,01/02/2019,27.11,63.38,23.53,110.69,51.3,23.21,90.61,95.22,14.7247023809524,27.3,42.24,59.64,14.72,62,88.12,134.3,37.2,36.74,75.56,22.42,69.69
2,01/02/2020,25.36,65.46,17.23,121.43,51.39,25.79,84.14,92.65,15.8705357142857,24.68,67.72,61.91,13.68,42.58,112.2,152.34,40.17,40.61,95.13,23.49,70.9
3,01/03/2018,45.33,56.34,29.03,128.51,51.38,42.72,110.93,129.17,23.8764880952381,50.5,49.4,68.61,17.67,75,102.43,176.34,71.33,49.93,93.29,32,86.7
4,01/03/2019,27.18,62.18,23.38,108.57,49.07,23.52,89.97,96.16,14.7544642857143,27.13,42.39,58.77,14.62,61.24,86.9,134.73,37.6,37.37,74.2,22.61,68.62
5,01/03/2020,25.69,65.7,17.28,121.01,48.18,26.1,84.99,94.41,16.0565476190476,24.76,69.84,58.23,13.75,43.61,108.49,153.35,40.56,41.25,91.52,23.59,70.33
6,01/03/2022,28.06,73.77,19.57,119.26,33.87,45.57,91.16,111.84,6.37,23.99,76.79,65.66,16.87,31.06,75.74,186.89,31.72,53.24,77.14,26.5,63.54
7,01/03/2023,43.62,113.12,23.21,173.99,49.65,58.12,124.45,131.38,11.55,37.66,134.52,110.92,25.64,61.05,101.03,220.25,51.5,70.65,120.04,32.15,106.51
8,01/04/2018,46.84,56.99,28.91,128.11,50.97,43.23,110.95,130.13,24.0997023809524,51.63,50.59,68.68,18.12,74.96,102.15,177.27,73.1,50.37,93.59,32.55,86.82
9,01/04/2019,28.32,63.75,23.13,110.82,51.72,24.57,93.92,99.93,15.5357142857143,28.42,45.69,61.65,15.41,63.21,90.84,139.29,39.09,39.4,77.01,23.55,71.15
10,01/04/2021,14.77,39.57,16.6,84.71,25.27,16.13,49.86,48.94,7.32142857142857,18.83,52.8,40.75,6.83,17.45,69.88,113.48,21.95,26.16,55.73,20.1,41.5
11,01/04/2022,29.46,76.97,20.93,121.43,33.32,47.66,95.35,119.2,6.55,25.43,81.16,67.81,17.61,33.38,78.57,191.28,33.26,54.37,78.51,26.74,65.93
12,01/04/2023,42.15,113.34,23.98,172.14,50.2,58.9,124.36,130.62,11.59,38.43,136.57,110.58,25.32,61.11,100.68,223.05,51.7,71.03,119.62,32.35,106.82
13,01/05/2018,46.39,56.88,28.76,127.9,51.25,43.11,112.17,129.98,24.1741071428571,51.82,52.16,69.34,17.89,74.55,102.16,176.51,73.6,48.45,94.03,32.46,86.75
14,01/05/2021,16.18,41.84,16.76,87,25.58,17.36,53.92,53.67,7.72321428571429,20.41,56.54,42.09,7.45,19.21,71.75,121.35,23.13,27.78,57.32,20.71,43.5
15,01/05/2022,28.4,75.65,20.68,122.22,33.12,46.61,93.6,118.11,6.46,25.18,80.83,68.24,17.21,31.81,78.32,192.92,33.26,54.06,78.2,26.8,66.75
16,01/05/2023,41.76,116.77,23.67,175.24,50.58,60.17,124.38,134.04,11.82,38.95,140.78,115.73,25.87,62.22,103.02,227.13,52.67,70.93,126.59,32.02,109.21
17,01/06/2020,25.64,66.48,17.42,120.6,48,26.41,88.44,94.9,16.1681547619048,25.39,70.86,58.22,13.96,45.05,107.81,158.11,40.82,41.86,91.53,23.9,70.87
18,01/06/2021,16.84,43.51,17.07,89.8,25.64,18.32,55.06,56.32,8.09523809523809,20.82,59.73,42.95,7.5,20,71.22,126.36,24.41,28.55,58.6,21.5,44.61
19,01/06/2022,29.62,78.49,20.46,123.26,33.85,48.37,95.52,123.65,6.67,25.61,85.25,70.15,18.03,32.76,80.48,198.33,34.05,55.56,80.16,27.44,68.32
20,01/06/2023,42.89,118.23,24.26,176.56,50.9,61.23,127.47,138.14,12.44,40.21,143.7,116.82,26.6,63.75,105.7,233.46,54.5,73.1,127.56,32.56,110.53
21,01/07/2019,28.93,63.47,24.07,112.26,52.34,25.35,94.51,102.63,16.1458333333333,28.82,47.88,62.26,15.62,64.48,91.47,142.32,40.17,41.02,77.09,24.15,71.52
22,01/07/2020,32.51,66.48,17.52,119.06,48.35,26.49,89.29,96.42,15.78125,24.67,70.94,59.14,13.79,45.27,108.14,156.95,40.61,41.97,92.73,23.9,70.29
23,01/07/2021,17.11,44.7,17.42,90.22,26.12,18.57,58.62,56.79,8.46726190476191,20.35,61.16,44.17,7.69,20.57,71.86,131.99,24.88,30.47,59.67,21.54,44.96
24,01/07/2022,29.67,80.64,21.55,125.03,33.65,48.89,98.16,121.52,6.85,26.02,86.62,70.93,18.24,33.21,81.96,199.07,35.03,55.91,81,28.01,68.88
25,01/08/2018,45.92,57.46,28.91,128.53,51.72,43.25,112.71,130.99,24.3973214285714,52.29,52.49,69.39,17.97,75.19,102.06,178.53,74.8,48.59,94.22,32.58,87.14
26,01/08/2019,29.36,64.32,24.42,111.77,51.82,25.55,95.52,104.95,16.6145833333333,29.2,48.48,62.87,15.48,64.99,91.39,142.2,40.67,42.7,77.36,24.87,72.04
27,01/08/2020,32.73,64.94,16.85,117.7,47.71,25.55,87.34,93.33,15.2455357142857,24.05,68.52,58.52,13.28,44.98,104.1,152.08,39.41,39.59,93.09,23.53,69.23
28,01/08/2021,16.58,44.7,17.27,91.08,25.39,18.11,58.87,56.76,8.70535714285714,20.12,60.25,43.18,7.55,20.08,70.71,131.24,24.84,29.2,57.71,21.3,45.46
29,01/09/2018,44.55,57.93,29.12,127.84,51.26,42.54,111.71,127.49,24.0922619047619,52.11,52.46,69,18.05,74.89,101.72,177.95,74.9,48.52,94.1,32.73,86.77
30,01/09/2019,30.86,66.45,23.85,113.27,52.95,25.83,99.19,106.79,17.0535714285714,30,50.16,64.22,16.07,65.78,91.99,145.81,41.24,43.79,77.29,25.15,72.42
31,01/09/2020,32.6,66.07,17.26,117.51,48.16,25.85,88.25,94.15,15.5133928571429,24.19,69.09,59.39,13.45,45.37,105.62,152.23,39.86,40.36,95.18,23.67,69.76
32,01/09/2023,43.37,117.36,24.79,175.18,50.16,62.2,127.75,141.49,12.38,40.44,144.22,115.76,27.03,64.08,102.01,230.16,55.64,74.92,128.58,32.63,108.47
33,01/10/2018,43.99,57.65,27.96,128.66,51.28,42.18,112.01,127.29,24.4270833333333,52.47,53,69.51,17.9,74.25,102.08,178.7,75.6,49.52,94.15,32.75,86.08
34,01/10/2019,30.96,67.94,24.12,113.45,53.32,26.29,99.12,106.13,16.875,30.87,51.95,63.63,16.35,66.19,92.94,145.24,41.65,42.83,77.42,25.15,72.05
35,01/10/2020,32.38,65.42,17.49,116.44,48.69,25.1,86.27,92.26,15.6324404761905,24.08,68.51,60.22,13.18,45.9,104.87,149.4,39.83,39.65,96.89,23.5,69.14
36,01/10/2022,29.42,81.03,21.36,125.11,34.24,48.5,98.06,121.35,6.78,25.85,85.15,70.45,17.74,32.38,83.86,199.12,35.12,54.57,81.03,27.95,68.47
37,01/10/2023,43.24,118.08,25.08,176.04,51.7,63.13,127.61,141.95,12.44,40.94,143.62,116.5,27.01,64.15,101.57,231.16,55.96,74.39,132.01,32.14,110.09
38,01/11/2018,46,59.18,28.4,132.57,51.5,43.07,115.14,129.9,25.3050595238095,53.33,54.72,70.25,18.6,75.82,102.37,184.17,77.05,50.82,94.55,33.1,86.93
39,01/11/2019,31.1,66.39,24.18,112.54,53.52,26.36,96.87,104.1,16.8154761904762,30.7,51.27,64.87,16.11,66.22,92.69,142.24,41.74,42.08,78.47,25.04,71.72
40,01/11/2021,16.66,45.36,18.04,91.6,25.86,18.33,59.61,58.3,8.91369047619048,20.57,60.94,43.59,7.64,20.08,72.27,131.42,24.99,29.21,58.64,21.51,46.84
41,01/11/2022,32,83.59,21.25,127.97,34.96,49.8,102.2,124.36,6.87,27.24,90.04,72.69,18.66,34.7,86.15,204,36.48,56.4,83.85,28.87,71.35
42,01/11/2023,43.82,118.24,24.69,175.2,51.58,62.85,126.85,142.24,12.47,40.99,145.25,117.6,27.05,64.09,101.42,231.6,56.32,74.65,133.6,32.43,111.37
43,01/12/2018,47.16,60.05,28.88,133.6,52.51,44.04,115.7,130.14,25.8928571428571,53.14,54.54,71.42,18.82,76.53,104.97,186.15,77.97,51.44,96.75,33.21,87.52
44,01/12/2021,18.53,47.42,18.58,93.34,27.35,19.71,62.44,62.87,9.54613095238095,22.13,63.84,45.58,8.39,22.62,73.74,135.12,26.14,31.01,59.51,22.43,47.88
45,01/12/2022,32.65,84.4,22.54,127.33,34.81,49.9,102.77,124.57,6.95,27.44,91.58,73.08,18.71,34.75,86.3,204.91,36.45,56.97,84.37,29.2,71.14
46,01/12/2023,45.35,120.16,25.39,177.08,52.12,64.03,130.45,145.33,12.86,42.17,150.73,121.01,27.38,65.74,102.86,239.18,58,75.41,135.32,32.96,113.22
47,01/13/2020,32.01,65.13,17.19,116.66,48.33,25.36,85.52,90.48,15.8779761904762,23.75,69.3,59.62,13.19,46.57,105.3,146.78,39.23,40.16,96.25,23.78,69.8
48,01/13/2021,17.8,47.03,18.92,93.25,26.34,19.13,60.47,61.54,8.80208333333333,21.57,62.1,44.32,8.04,22.33,71.77,130.93,25.46,30.69,57.7,22.24,48.42
49,01/13/2022,32.09,83.62,21.84,126.8,35.26,49.64,102,124.08,6.86,27.93,90.61,73.12,18.57,34.15,86.78,207.3,36.17,57.11,83.36,28.93,70.63
50,01/13/2023,45.34,121.47,25.1,177.56,52.01,63.59,129.46,145.24,12.88,42.66,152.21,121.93,27.08,65.31,103.03,238.99,58.28,75.4,136.13,32.81,113.15
51,01/14/2019,31.57,65.61,24.66,111.72,53.09,26.17,98.51,104.51,16.8080357142857,30.37,50.81,64.88,15.83,65.58,92.83,142.89,41.32,41.9,78.95,25.31,71.63
52,01/14/2020,33.59,65.14,17.51,116.3,48.52,26.23,86.33,91.26,15.6026785714286,23.94,70.06,59.84,13.28,47.24,106.38,146.78,39.53,40.89,95.4,23.84,69.2
53,01/14/2021,18.35,47.87,19.3,95.49,29.23,20.28,62.24,61.93,9.18154761904762,21.76,63.78,45.52,8.67,24.24,74.14,132.38,25.96,31.07,60.27,22.69,50.31
54,01/14/2022,33.29,86.74,22.2,128.96,37.67,50.39,105.63,129.21,7.05,28.74,91.78,74.74,19.47,35.51,88.58,215.7,37.81,57.78,85.2,29.29,71.87
55,01/15/2019,31.75,66.03,24.8,112.12,52.86,26.4,98.59,105.01,16.8973214285714,30.35,51.82,64.33,15.83,65.52,92.45,143.03,41.72,42.55,78.77,25.45,71.67
56,01/15/2020,33.54,65,17.34,116.13,46.64,26.24,86.74,91.31,15.014880952381,23.57,70.08,58.13,13.24,47.26,104.89,145.4,38.33,40.83,92.26,23.81,69.09
57,01/15/2021,17.27,45.12,19.07,92.09,28.21,19.57,59.19,59.24,8.81696428571428,20.74,61.04,43.98,8.25,22.39,71.74,127.38,24.91,30.03,58.3,22.5,47.89
58,01/16/2018,46.27,58.84,28.03,132.01,52.25,43.26,113.39,128.02,24.84375,52.13,53.54,70.78,18.24,75.27,103.5,182.51,77.17,50.75,96.15,32.59,86.97
59,01/16/2019,31.21,65.66,25.03,111.4,53.3,25.89,98.67,105.64,17.1354166666667,30.36,51.28,64.34,15.54,65.14,92.99,143.54,41.25,42.83,79,25.86,71.64
60,01/16/2020,33.1,65.07,17.37,116.89,46.93,26.44,87.02,90.74,14.9404761904762,23.81,70.31,57.53,13.34,46.67,103.79,146.99,38.78,41.26,91.98,24.04,68.82
61,01/17/2018,46.53,59.86,27.98,132.36,52.4,43.44,113.53,127.44,25.0520833333333,52.85,54.02,71.98,18.84,75.86,106.16,184.32,77.21,51.21,97.56,32.52,88
62,01/17/2019,31.69,67.06,25.26,111.96,55.08,26.39,99.05,105.65,17.3139880952381,30.9,51.84,65.79,15.79,65.83,93.42,143.27,41.37,42.74,80.49,26.16,72.13
63,01/17/2020,32.67,65.07,16.81,115.58,46.92,25.85,85.31,89.54,14.7247023809524,23.96,69.9,56.89,13.21,45.83,103.31,148.79,38.37,41.28,91.22,23.86,68.56
64,01/17/2023,45.14,120.24,25.34,180.49,52.4,63.49,130.06,145.73,12.93,42.53,151.65,121.77,26.8,64.72,102.51,237.9,58.46,75.14,137.61,32.78,112.93
65,01/18/2018,46.7,59.76,27.57,131.59,50.91,43.2,114.24,127.23,24.6651785714286,52.36,53.84,71.49,18.69,75.39,105.29,184.38,76.37,50.69,96.46,32.28,87.43
