,date,AFL,AIG,AIZ,AJG,ALL,AMP,AON,AXP,BAC,BEN,BK,BLK,BRK.B,BRO,BX,CFG,CINF,CMA,COF,DFS,FITB,GL,GS,HBAN,HIG,IVZ,JEF,KEY,L,MCO,MET,MMC,MS,MTB,NTRS,PGR,PNC,PRU,RF,RJF,SCHW,STT,SYF,TFC,TROW,TRV,USB,WFC,WRB,WTW,ZION
0,01/02/2018,43.985,59.5,99.23,62.17,101.92,169.91,131.49,98.94,29.9,43.25,53.82,508.97,197.22,25.54,32.52,42.68,73.08,86.57,99.61,76.91,30.43,90.21,255.67,14.6,55.27,36.35,23.9721858193511,20.17,49.89,146.13,50.18,80.4,52.19,171.19,99.46,55.36,144.62,115.45,17.37,59.24,51.44,96.72,38.86,49.92,103.08,131.98,54.03,61.09,31.1288888888889,146.99,50.7
1,01/02/2019,45.52,39.62,90.1,71.89,81.64,107.96,144.04,95.68,24.96,29.85,47.5,389.42,202.8,27.07,30.07,30.51,75.62,69.74,77.26,59.41,24.2,76.37,172.03,12.14,43.42,16.84,15.8442004855308,15.02,45.08,140.85,41.67,79.04,40.4,144.89,84.05,59.23,118.81,82.67,13.67,49.36,41.58,63.93,24.27,44.39,91.84,117.37,46.35,46.94,32.1866666666667,149.68,41.58
2,01/02/2020,53.35,51.76,132.36,95.51,112.82,169.23,208.79,125.85,35.64,25.61,50.92,508.98,228.39,39.61,55.8,40.75,105.96,71.75,103.61,85.3,31.02,105.56,234.32,14.99,60.95,17.99,20.8126195028681,20.26,52.96,241.72,51.62,112.05,52.04,171.07,107.58,74.33,160.37,94.84,17.09,60.52,48.23,80.76,36.21,56.67,125.16,137.51,59.2,53.75,45.9733333333333,204.28,52.44
3,01/03/2018,44.115,60.16,99.51,62.64,101.98,169.07,133.59,99.55,29.8,43.45,54.15,514.34,199.79,25.83,33,43.17,72.79,86.54,99.44,77.48,30.52,90.47,253.29,14.72,54.83,36.53,23.8916220880687,20.24,50.47,148.86,50.5,81.45,52.33,173.11,100.05,55.33,144.59,115.49,17.4,59.8666666666667,51.52,97.43,39.12,50.46,104.49,132.4,54.56,61.56,30.8711111111111,149.74,50.64
4,01/03/2019,44.37,38.75,88.66,70.54,80.3,105.1,141.88,93.43,24.56,29.3,46.56,377.98,191.66,26.73,29.23,30.37,74.4,69.28,76.16,58.41,24.18,75.01,169.51,12.04,42.82,16.43,15.5398486117974,15.07,44.52,136.18,40.87,78.01,39.68,143.86,81.89,58.23,118.27,81.27,13.65,47.6933333333333,40.72,61.85,24.09,44.09,88.81,115.26,45.7,46.57,31.6533333333333,146.54,41.35
5,01/03/2020,52.98,51.36,132.99,95.31,112.83,167.12,207.97,124.6,34.9,25.09,50.27,503.57,226.18,39.65,56,39.91,106.5,70.66,102,83.88,30.44,104.3,231.58,14.81,60.64,17.67,20.6118546845124,19.91,52.76,241.12,51.09,111.88,51.2,169.32,105.37,74.32,158.83,93.26,16.77,59.48,47.01,79.57,35.69,56.2,124.75,137.02,58.51,53.42,46.0333333333333,204.33,51.7
6,01/03/2022,58.27,57.39,156.27,166.71,118.27,304.26,293.24,168.21,46.18,33.41,58.51,911.73,300.79,68.79,126.63,49.14,113.11,88.61,148.34,118.64,44.67,94.94,395.33,15.8,69.51,23.29,37.7724665391969,23.58,58.1,383.59,63.23,167.23,100.19,158.25,120.7,102.0,208.22,109.92,22.67,102.86,85.76,94.45,47.0,60.4,194.58,155.75,57.27,50.73,54.1733333333333,235.57,64.24
7,01/03/2023,71.58,62.93,127.32,187.26,136.66,310.66,299.42,147.12,33.51,27.12,46.3,712.04,309.91,56.65,76.13,39.53,104.01,66.05,92.97,96.99,32.64,119.59,346.22,14.1,75.35,18.22,32.7151051625239,17.61,58.59,276.47,72.15,165.98,85.72,144.97,89.78,130.14,159.52,99.48,21.47,106.11,81.94,78.4,32.39,43.63,109.15,187.12,44.64,41.79,72.58,245.18,48.46
8,01/04/2018,44.57,60.4,100.05,63.22,100.8,169.69,135.42,100.85,30.19,43.3,54.69,521.13,200.69,25.9,33.26,43.68,73.62,87.51,101.42,78.25,30.63,90.7,256.83,14.85,55.4,36.83,24.0258949735393,20.32,50.72,151.6,51.36,82.3,53.13,173.44,101.55,55.32,144.6,116.51,17.54,60.36,51.81,98.48,39.4,51.07,105.31,132.4,54.98,62.33,30.9955555555556,151.26,50.85
9,01/04/2019,44.92,40.18,90.45,72.32,82.67,110.73,144.55,97.64,25.58,30.26,47.91,391.82,195.2,27.39,30.23,31.62,75.89,71.5,79.54,61.29,24.76,77.67,175.05,12.38,44.14,17.26,16.2649221933386,15.58,45.65,143.28,42.28,79.92,41.3,148.28,84.75,59.56,121.23,85.04,14.15,49.6266666666667,42.44,64.19,25.24,45.25,91.98,118.68,46.83,47.95,32.1422222222222,150.5,42.62
