,date,ALGN,AMGN,BAX,BDX,BIIB,BIO,BSX,CAH,CI,CNC,COO,COR,CRL,CTLT,DGX,DVA,DXCM,ELV,EW,GEHC,GILD,HCA,HOLX,HSIC,HUM,IDXX,ILMN,INCY,IQV,ISRG,LH,MCK,MDNAF,MDT,MOH,MTD,PODD,REGN,RVTY,STE,SYK,TECH,TMO,Ticker,UBER,UHS,UNH,VRTX,WAT,WST,XRAY,ZBH
0,01/02/2018,224.62,177,67.17,212.526829268293,334.17,241.42,25.28,63.23,202.56,51.295,220.62,94.04,110.65,42.04,98.9,72.54,14.4975,226,37.1933333333333,,74.1,89.51,42.87,56.0549019607843,251.64,157.81,224.03,100.89,99.76,125.083333333333,139.432989690722,159.0,1.641,82.21,78.0,626.1,69.0,382.6,73.91,88.31,157.9,32.865,192.98,,,115.6,221.16,152.91,195.69,99.5,67.14,120.446601941748
1,01/02/2019,202.12,191.9,65.3,214.712195121951,304.69,228.08,34.46,45.07,187.17,56.5,250.63,74.45,111.09,30.91,82.17,51.73,28.795,255.02,49.7466666666667,,63.44,121.76,38.42,59.9137254901961,281.59,182.46,294.52,63.56,114.31,155.343333333333,108.616838487973,113.07,0.518,87.92,112.89,546.04,73.43,372.44,76.92,104.14,154.5,35.4775,219.42,,,117.44,243.49,164.08,183.41,96.41,37.89,99.3009708737864
2,01/02/2020,283.68,240.1,85.87,265.892682926829,294.24,372.16,45.33,50.09,204.94,61.88,323.32,85.08,153.89,56.6,105.73,75.25,54.845,300.87,77.5,,65.23,147.49,52.07,67.12,363.24,265.02,327.0,85.97,156.41,199.086666666667,143.883161512028,138.69,2.16,114.56,133.37,805.06,169.77,373.35,98.86,151.7,210.45,54.865,326.37,,30.99,142.31,292.5,219.45,235.06,151.74,56.93,144.854368932039
3,01/03/2018,231.2,180.34,68.25,214.624390243902,339.85,250.47,25.56,62.86,205.96,52.215,226.74,94.39,110.31,42.35,99.25,72.91,14.52,229.15,38.1966666666667,,74.66,87.04,43.49,56.5803921568628,251.28,162.05,230.32,100.98,99.52,127.94,140.077319587629,156.76,1.641,83.92,77.17,631.54,69.0,393.78,76.16,87.14,158.79,33.6225,196.52,,,113.39,223.48,152.01,197.77,99.62,66.91,121.281553398058
4,01/03/2019,184.78,188.98,64.48,206.048780487805,307,224.3,32.91,44.16,185.57,54.96,246.18,73.37,104.82,29.84,80.68,50.98,28.065,248.42,47.8866666666667,,65.25,119.44,38.28,57.8588235294118,269.7,178.02,284.24,68.06,109.96,150.08,106.27147766323,112.94,0.518,85.45,105.9,513.56,72.44,372.08,72.79,101.48,152.46,34.0225,212.17,,,115.98,236.85,163.73,176.34,94.53,37.91,97.504854368932
5,01/03/2020,280.44,238.47,85.5,263.014634146341,290.85,366.78,44.98,49.36,203.18,61.16,322.3,84.01,152.7,55.98,105.11,75.08,54.675,296.88,77.21,,65.07,147.94,51.89,66.56,364.86,264.77,322.73,77.9,154.19,197.78,143.668384879725,136.72,2.459,113.88,132.54,789.54,171.48,369.16,96.99,150.63,209.59,54.17,322.82,,31.37,141.97,289.54,217.98,231.01,152.14,56.3,144.47572815534
6,01/03/2022,648.05,226.69,86.87,247.034146341463,244.14,735.42,43.12,52.01,234.2,82.65,421.6,132.62,362.11,124.49,164.35,115.43,130.1975,464.86,128.34,,72.58,254.08,73.1,77.43,465.45,631.01,380.87,73.97,273.58,360.0,256.168384879725,248.1,1.91,106.1,316.57,1674.86,275.7,627.1,192.2,242.57,268.42,121.9475,644.92,,43.95,132.02,502.28,222.53,364.59,445.92,56.89,125.368932038835
7,01/03/2023,212.28,261.65,51.04,256.18,272.63,422.43,46.01,76.73,321.48,79.74,332.68,164.29,218.4,45.45,155.77,74.84,114.73,502.2,74.27,56,85.39,243.21,75.55,79.6,500.49,406.01,200.87,79.55,203.86,265.63,204.278350515464,374.33,0.498,78.26,318.92,1461.87,286.38,720.47,141.14,185.58,246.03,82.53,553.18,,25.36,142.61,518.64,286.02,345.59,234.41,32.69,127.28
8,01/04/2018,233.3,179.58,68.41,215.6,339.99,248.49,25.32,63.66,207.04,51.25,223.55,94.18,109.47,41.78,99.08,74.85,13.0625,230.21,38.47,,73.9,85.96,43.77,56.6117647058824,258.36,163.96,232.99,98.44,97.28,125.64,139.570446735395,155.06,1.641,84.12,77.64,627.03,68.49,382.95,76.36,86.59,158.74,33.73,198.98,,,112.79,224.45,153.07,199.66,99.59,66.9,121.106796116505
9,01/04/2019,186.71,195.44,66.5,211.69756097561,318.33,226.28,34.21,44.92,188.69,56.765,246.19,74.22,109.75,31.08,82.71,54,29.06,249.91,49.5733333333333,,68.25,123.39,39.15,58.4313725490196,276.62,187.43,302.69,72.27,115.07,157.226666666667,109.931271477663,114.33,0.518,88.13,109.66,527.15,77.15,397.55,75.89,103.91,157.06,36.1225,221.76,,,118.56,239.62,172.7,179.78,98.24,39.01,100.834951456311
