,date,ADP,ALLE,AOS,AVY,AXON,BA,BLDR,BR,CARR,CAT,CMI,CPRT,CSGP,CTAS,DE,DHR,DOV,EFX,ETN,FI,FIS,FLT,FTV,GD,GE,GPN,HII,HON,IEX,IR,IRM,ITW,J,JKHY,LMT,MA,MAS,MMM,NDSN,NOC,OTIS,PAYX,PCAR,PH,PNR,PYPL,RHI,ROL,ROP,RSG,RTX,TDG,TDY,TT,TXT,V,VLTO,VRSK,WAB,WM,XYL
0,01/02/2018,115.99,79.91,61.53,115.68,26.55,296.84,22,90.8,,157.04,177.06,10.9,29.679,156.85,158.01,81.9503546099291,82.140549273021,119.54,78.86,65.175,93.7,193.87,60.5690376569038,200.49,107.968534198042,99.56,228.01,147.323242779043,131.68,33.71,37.61,165.27,66.87,116.19,318.54,151.91,43.81,235.64,147.42,305.24,,67.31,48.68,199.88,47.165883143049,73.84,55.91,20.7333333333333,260.56,66.58,80.6544996853367,275.11,184.34,88.75,57.3,114.51,,95.83,82.93,86.1,68.07
1,01/02/2019,130.14,81.05,43.47,89.99,45.11,323.81,11.51,95.08,,126.38,133.38,11.92,33.472,167.49,148.1,89.0957446808511,71.25,93.04,68.61,72.21,101.43,185.55,56.3598326359833,157.26,48.3396385035729,102.03,192.56,131.83,125.05,21.0,32.1,126.6,58.48,124.19,264.73,189.74,29.55,190.95,117.07,246.37,,65.07,38.5733333333333,150.39,37.77,85.75,56.54,23.8466666666667,266.61,71.53,68.156073001888,339.65,205.79,91.5,46.09,132.92,,108.65,70.86,88.72,66.51
2,01/02/2020,170.32,125.39,47.77,129.31,76.56,333.32,25.41,123.78,,150.53,179.32,23.37,62.066,270.79,176.86,137.508865248227,116.87,142.39,95.87,115.52,139.9,287.74,64.8953974895397,178.43,74.504293520687,185.67,255.85,180.79,173.3,36.88,30.41,181.68,90.27,145.89,399.37,303.39,48.27,180.0,165.23,355.7,,85.11,53.0066666666667,209.77,46.42,110.75,63.75,22.2266666666667,365.17,89.83,96.3750786658276,567.44,357.49,134.35,45.48,191.12,,151.12,80.95,114.22,79.85
3,01/03/2018,117.25,80.25,61.9,116.01,26.75,297.8,22.41,90.72,,157.28,179.01,10.8475,30.75,158.42,158.73,83.040780141844,82.8029079159935,120.16,81.64,65.705,94.25,194.96,60.602510460251,201.74,108.989371284453,101.71,229.39,146.106012160805,132.87,33.91,37.1,165.96,67.1,116.34,321.21,153.82,44.0,235.63,149.12,306.65,,68.28,49.2733333333333,201.51,47.5486903962391,76.75,55.81,20.6577777777778,262.08,66.9,81.8376337319069,270.22,184.09,89.95,57.63,115.65,,95.55,82.26,87.35,68.9
4,01/03/2019,126.21,79.68,42.42,87.07,43.29,310.9,11.48,93.65,,121.51,130.74,11.7225,32.728,164.81,144.05,86.5425531914894,69.79,91.34,66.63,70.11,98.31,181.6,54.0836820083682,153.37,48.39968774395,98.72,188.84,130.07,121.42,20.58,32.61,123.45,57.3,121.23,258.08,181.18,29.07,183.76,112.76,239.92,,63.97,37.68,144.84,36.64,82.09,52.9,23.5666666666667,258.8,71.36,65.1227186910006,325.55,200.06,90.03,44.92,128.13,,105.33,69.48,88.48,64.23
5,01/03/2020,169.96,123.84,47.35,128.51,73.93,332.76,25.22,123.88,,148.44,176.81,23.165,62.62,269.57,175.55,136.65780141844,115.78,142.87,95.16,116.37,139.02,290.81,64.6276150627615,180.18,74.7540983606557,184.4,263.5,178.86,172.76,36.72,30.64,179.11,90.89,145.72,413.74,300.43,47.9,178.45,164.06,375.01,,84.82,52.4866666666667,206.82,45.98,108.76,63.31,22.1533333333333,363.03,90.21,96.5072372561359,577.84,360.05,133.15,44.74,189.6,,152.59,80.33,115.33,80.32
6,01/03/2022,244.01,129.36,83.57,210.81,152.87,207.86,83.49,180.95,52.52,207,219.53,36.7375,78.84,424.09,350.11,279.929078014184,178.33,284,168.66,107.62,113.88,231.11,73.57,207.46,75.1288056206089,141.7,186.04,206.8,230.69,59.63,51.32,243.48,139.58,171.5,354.36,370.95,69.42,177.74,251.03,385.53,85.57,134.51,58.9866666666667,316.0,70.99,194.94,109.45,33.6,474.97,135.41,86.97,641.59,442.17,194.85,76.34,221.43,,221.66,92.29,162.74,116.89
7,01/03/2023,237.66,107.7,58.92,183.21,168.24,195.39,65.35,134.56,41.61,238.88,241.04,30.73,77.65,448.99,424.29,232.508865248227,135.07,198.31,157.75,101.21,68.54,183.19,64.27,248.6,66.3387978142077,100.2,228.35,214.3,229.49,53.0,49.67,220.32,121.29,176.1,477.53,346.8,47.42,122.47,238.03,540.33,79.12,115.81,65.62,291.76,45.2,74.58,73.59,36.55,434.46,128.68,100.81,625.77,400.77,171.53,70.26,207.39,,177.34,99.76,157.03,110.76
8,01/04/2018,118.37,81.37,62.19,116.78,26.83,296.67,22.35,91.44,,159.44,181.75,10.935,30.911,161.17,159.64,83.4397163120567,83.2794830371567,121.64,80.77,66.63,94.95,195.46,62.1338912133891,205.21,111.271242418783,103.65,232.66,148.080417730545,135.0,34.07,36.92,166.15,67.79,118.64,326.72,155.81,44.05,238.71,150.18,308.55,,68.92,49.9,202.43,48.7239758226998,76.73,55.98,21.0444444444444,264.86,68.44,82.0956576463184,272.84,187.12,90.39,57.58,116.08,,96.03,83.37,88.1,69.36
9,01/04/2019,131.24,79.5,44.12,90.45,46.01,327.08,12.1,96.88,,128.15,136.17,12.14,33.861,172.56,151.68,89.0514184397163,72.96,94.25,68.53,73.22,101.78,184.94,56.4518828451883,157.77,49.4205248303609,102.75,195.52,134.62,129.35,20.94,33.18,127.18,59.52,124.04,265.04,189.76,30.74,191.32,116.77,247.9,,66.2,39.3533333333333,151.33,38.15,86.27,56.09,24.3333333333333,267.49,72.81,67.3505349276274,340.97,205.81,93.1,46.88,133.65,,109.98,71.25,90.83,66.94
