,time,A,ACN,ADBE,ADI,ADP,ADSK,AMAT,AMD,ANET,ANSS,AVGO,BR,CDAY,CDNS,CIEN,CRM,CSCO,CTSH,ENPH,EPAM,FAST,FDS,FFIV,FI,FICO,FIS,FLT,FTNT,GEN,GLW,GPN,INTC,INTU,IT,JBL,JKHY,JNPR,KEYS,KLAC,LDOS,LHX,LRCX,MA,MCHP,MPWR,MSFT,MSI,MU,NOW,NVDA,NXPI,ON,ORCL,PANW,PAYC,PAYX,PTC,PYPL,QCOM,QRVO,SWKS,TER,TRMB,TXN,TYL,Ticker,V,ZBRA
0,01/02/2018,67.6,153.84,177.7,90.28,115.99,107.12,53.04,10.98,57.7575,148.55,267.01,90.8,,42.05,21.22,104.41,38.86,70.95,2.6,108.4,27.27,191.63,132.58,65.175,153.39,93.7,193.87,8.87,28.91,32.62,99.56,46.85,158.72,124.85,26.7,116.19,28.7,42.15,106.13,64.0,142.07,189.28,151.91,45.205,116.31,85.95,90.55,43.67,131.73,49.8375,117.95,21.81,46.63,49.5166666666667,80.44,67.31,61.16,73.84,65.2,68.88,98.43,44.18,41.06,105.57,178.69,,114.51,103.71
1,01/02/2019,65.69,140.59,224.57,85.92,130.14,128.96,33.48,18.83,52.6375,143.01,253.51,95.08,33.76,43.23,33.94,135.55,42.95,63.09,4.92,114.32,25.705,199.4,161.18,72.21,185.49,101.43,185.55,13.936,18.94,29.88,102.03,47.08,194.47,125.85,24.76,124.19,26.89,61.42,90.91,52.05,133.14,138.3,189.74,35.675,115.44,101.12,114.78,32.75,178.32,34.055,75.03,16.78,45.22,61.07,119.7,65.07,81.92,85.75,57.4,61.18,67.96,31.74,32.47,94.45,182.24,,132.92,156.24
2,01/02/2020,85.95,210.15,334.43,120.43,170.32,187.83,62.2,49.1,51.18,259.59,322.39,123.78,70.02,71.44,42.86,166.99,48.42,61.92,29.34,216.31,37.23,268.73,140.76,115.52,382.92,139.9,287.74,21.936,26.02,29.99,185.67,60.84,266.16,156.04,41.97,145.89,24.71,104.19,182.57,98.62,203.31,297.89,303.39,53.8,180.01,160.62,161.63,55.39,291.24,59.9775,128.54,25.06,53.95,78.47,271.8,85.11,76.37,110.75,88.69,115.96,121.67,69.68,41.94,129.57,306.24,,191.12,259.14
3,01/03/2018,69.32,154.55,181.04,91.4,117.25,109.38,53.98,11.55,58.9,151.42,269.93,90.72,,42.93,21.4,105.29,39.17,71.55,2.58,109.77,27.28,193.24,134.04,65.705,153.43,94.25,194.96,9.006,28.91,33.42,101.71,45.26,159.16,125.19,27.05,116.34,28.81,42.75,107.37,63.92,142.82,192.5,153.82,45.885,118.5,86.35,89.91,44.98,132.91,53.1175,118.08,22.78,47.71,49.8933333333333,81.03,68.28,61.94,76.75,65.94,68.39,99.93,44.37,42.19,108.43,180.19,,115.65,105.77
4,01/03/2019,63.27,135.79,215.7,80.73,126.21,121.85,31.54,17.05,49.9,137.64,230.96,93.65,33.23,41.53,32.87,130.4,41.07,61.1,4.76,112.29,24.975,194,154.31,70.11,178.77,98.31,181.6,13.514,18.58,28.03,98.72,44.49,188.52,123.19,23.12,121.23,26.0,58.32,85.81,51.33,130.05,131.63,181.18,33.16,108.61,97.4,110.76,31.0,169.12,31.9975,71.97,15.65,44.78,59.9,116.5,63.97,78.16,82.09,55.7,55.64,60.72,29.6,30.93,88.88,176.63,,128.13,146.88
5,01/03/2020,84.57,209.8,331.81,118.31,169.96,184.95,61.21,48.6,50.2125,256.97,314.19,123.88,69.51,70.42,41.87,166.17,47.63,61.36,29.29,217.4,36.57,268.67,140.0,116.37,381.92,139.02,290.81,22.242,25.83,29.6,184.4,60.1,264.38,155.98,41.45,145.72,24.34,101.88,179.08,99.48,210.47,294.69,300.43,52.62,176.75,158.62,164.38,54.53,291.1,59.0175,127.3,24.69,53.76,78.9433333333333,272.71,84.82,75.43,108.76,87.02,112.34,118.65,68.23,41.51,127.85,306.67,,189.6,256.05
6,01/03/2022,156.48,407.21,564.37,177.15,244.01,283.72,159.93,150.24,142.24,395.49,663.32,180.95,104.94,183.16,77.38,255.46,63.16,89.57,184.45,642.2,61.98,476.02,242.75,107.62,443.13,113.88,231.11,66.624,26.33,37.19,141.7,53.21,631.47,321.96,70.46,171.5,35.36,202.66,435.09,90.26,211.57,725.46,370.95,88.0,494.85,334.75,267.43,95.75,630.14,301.21,231.22,70.17,87.9,181.403333333333,404.94,134.51,122.98,194.94,186.21,159.43,159.78,166.11,86.68,190.6,523.85,,221.43,583.9
7,01/03/2023,150.04,270.26,336.92,162.45,237.66,185.15,96.73,64.02,120.91,238.64,553.48,134.56,61.57,159.64,50.74,134.78,47.94,57.59,253.31,331.42,47.4,405.96,144.85,101.21,591.19,68.54,183.19,48.52,21.62,32.54,100.2,26.73,391.18,337.49,67.18,176.1,32.53,170.94,376.55,104.71,206.93,414.3,346.8,69.1,342.95,239.58,257.4,50.37,385.5,143.15,155.05,61.61,83.72,138.45,304.63,115.81,119.65,74.58,107.2,89.14,90.5,85.93,50.6,163.21,319.33,,207.39,260.2
8,01/04/2018,68.8,156.38,183.22,91.3,118.37,112.07,54.29,12.12,58.1725,151.82,270.02,91.44,,43.58,21.78,106.68,38.99,72.68,2.5,110.03,27.39,195.89,137.12,66.63,155.18,94.95,195.46,8.8,28.97,33.76,103.65,44.43,162.01,127.3,27.31,118.64,28.79,42.96,107.56,64.8,142.43,193.38,155.81,45.995,119.6,87.11,90.66,46.88,133.85,53.3975,117.87,22.78,48.18,49.7533333333333,83.11,68.92,63.0,76.73,66.03,68.72,100.77,44.58,42.85,108.29,183.95,,116.08,107.86
9,01/04/2019,65.46,141.07,226.19,82.69,131.24,128.28,33.7,19,50.6175,143.66,233.23,96.88,34.39,43.26,34.56,137.96,42.92,63.7,5.08,117.34,26,200.04,159.79,73.22,189.48,101.78,184.94,13.382,19.36,29.21,102.75,47.22,196.0,126.36,23.95,124.04,27.0,61.95,91.3,53.38,132.92,138.06,189.76,34.505,113.08,101.93,115.56,32.7,179.23,34.0475,75.45,16.5,46.71,61.4633333333333,121.02,66.2,81.59,86.27,56.6,59.37,63.63,31.1,32.1,92.9,180.16,,133.65,152.97
10,01/04/2021,118.64,256.46,485.34,146.02,168.96,296.84,86.87,92.3,70.79,357.67,425.22,151.51,102.53,135.76,51.18,220.31,43.96,79.42,172.24,348.06,47.65,330.59,175.85,111.92,505.26,139.91,265.93,29.112,20.77,34.92,207.22,49.67,371.7,158.07,42.17,158.66,22.61,131.18,260.33,102.44,180.44,478.02,351.49,68.59,364.82,217.69,167.5,74.05,526.83,131.135,162.04,32.67,63.75,117.22,427.73,90.36,118.18,231.92,148.5,164.59,150.72,119.19,66.29,162.22,431.61,,217.76,378.13
11,01/04/2022,151.19,404.3,554,175.55,245.15,278.19,158.36,144.42,138.66,391.1,670.92,180.57,100.57,178.3,75.88,248.23,61.25,91.42,178.28,618.71,62.33,472.46,239.9,109.0,445.83,114.51,237.25,64.428,26.55,38.01,145.43,53.14,618.32,323.41,71.29,174.66,34.98,197.36,431.24,91.88,214.01,712.0,375.39,87.47,491.25,329.01,264.8,96.34,603.94,292.9,232.87,70.95,88.84,174.666666666667,391.87,134.25,122.6,191.14,187.23,160.45,161.25,166.38,85.11,190.8,520.48,,222.46,587.6
12,01/04/2023,151.67,269.34,341.41,165.91,238.78,187.96,99.31,64.66,113.84,242.94,560.24,136.67,63.06,159.23,49.42,139.59,47.55,58.06,251.64,335.22,47.97,407.79,145.28,102.06,609.04,69.27,184.68,48.3,21.87,34.11,103.48,27.68,391.57,334.15,66.0,177.19,31.83,170.49,380.23,104.37,206.93,422.46,355.15,70.79,357.83,229.1,258.02,54.2,393.85,147.49,157.96,62.2,84.48,138.54,303.9,117.07,121.97,77.69,111.53,91.0,93.48,87.42,50.8,169.17,320.68,,212.61,262.99
13,01/05/2018,69.9,157.67,185.34,91.67,118.3,110.84,54.6,11.88,59.1925,152.45,271.62,92.56,,43.99,21.54,108.1,39.53,73.3,2.47,110.21,27.445,196.93,136.18,67.29,156.92,95.49,197.0,8.82,29.51,33.64,103.56,44.74,164.11,129.34,27.19,119.78,28.51,43.92,109.86,64.73,143.74,196.4,159.04,46.13,120.07,88.19,91.88,45.8,135.01,53.85,118.05,22.83,48.47,50.99,83.88,68.71,63.65,78.7,66.47,68.03,101.23,45.61,43.0,109.12,184.39,,118.86,109.54
14,01/05/2021,119.61,257.92,485.69,148.63,168.49,301.7,89.6,92.77,71.5025,359.83,428.1,151.72,101.12,136.14,51.21,221.52,43.98,79.65,181.48,345.7,48.28,329.58,177.25,112.36,505.01,136.68,267.0,28.348,20.97,35.67,205.36,50.61,368.87,159.71,43.06,159.11,23.36,133.84,265.79,102.49,182.35,494.55,347.42,70.095,370.56,217.9,166.61,77.26,531.97,134.0475,165.67,33.22,62.96,116.716666666667,426.88,90.02,118.51,234.91,152.43,169.25,156.3,121.49,66.85,163.41,432.24,,214.51,380.57
15,01/05/2022,148.6,397.18,514.43,172.84,243.06,264.32,153.74,136.15,133.15,376.94,643,177.46,92.95,172.62,75.38,227.67,60.28,90.02,157.2,587.8,61.54,451.29,232.31,108.36,425.89,116.53,237.3,60.698,26.2,38.18,146.42,53.87,593.7,303.21,69.99,172.92,34.26,192.16,420.74,91.56,209.38,691.81,373.9,84.52,460.53,316.38,259.11,94.4,572.76,276.04,224.57,67.42,86.46,168.286666666667,360.94,131.69,118.33,187.16,186.5,157.24,158.08,160.25,81.61,186.82,492.59,,220.0,558.18
16,01/05/2023,152.11,262.98,328.44,159.69,233.63,182.07,97.92,62.33,109.49,231.65,555.02,133.02,59.82,156.8,49.41,136.34,46.88,57.57,240.37,313.48,46.3,393.55,140.05,99.4,596.9,68.19,180.26,47.45,21.1,34.39,101.98,27.56,375.62,324.77,65.44,173.78,31.17,168.87,373.47,104.01,206.13,417.06,351.77,69.1,347.06,222.31,255.12,54.71,366.32,142.65,153.51,59.74,84.31,135.11,294.62,114.36,120.05,76.27,109.4,90.29,92.42,87.12,50.12,166.93,306.52,,211.11,260.06
17,01/06/2020,84.82,208.43,333.71,116.92,170.19,187.12,59.89,48.39,50.715,254.59,313.72,125,69.41,70.85,41.89,173.45,47.8,60.75,29.66,214.2,36,267.16,138.25,116.93,384.0,140.35,289.19,22.4,26.39,29.68,187.97,59.93,266.41,158.86,40.93,146.73,24.29,100.14,175.05,100.36,211.72,289.19,301.23,51.865,174.94,159.03,166.92,53.57,292.87,59.265,126.4,24.07,54.04,80.0866666666667,278.09,84.81,76.27,110.17,86.51,111.64,116.56,66.75,41.31,126.96,310.21,,189.19,258.01
18,01/06/2021,122.89,260.74,466.31,149.3,167.9,302.87,90.83,90.33,71.4675,349.9,425.46,155.78,99.35,130.64,51.45,216.15,44.4,80.15,203.38,329.66,49.1,332.23,178.58,114.18,497.01,137.99,272.23,27.622,20.92,36.9,207.33,51.1,361.0,163.79,43.99,161.49,23.58,136.11,265.21,103.99,182.77,496.49,347.55,71.44,358.6,212.25,170.68,77.11,507.25,126.145,168.72,34.06,62.57,115.093333333333,413.89,91.15,119.0,226.83,151.19,172.0,158.49,122.41,68.41,164.22,433.73,,212.62,394.82
19,01/06/2022,149.12,378,514.12,173.39,241.39,264.11,156.34,136.23,132.67,368.88,637.03,174.27,90.25,173.12,74.38,229.15,60.92,88.23,151.49,579.05,61.89,449.43,235.7,109.14,443.53,116.65,239.26,62.8,27.06,38.33,151.26,54.01,586.39,306.23,70.17,169.6,34.44,192.59,432.22,90.97,217.55,701.91,370.0,85.3,465.61,313.88,257.69,95.65,574.04,281.78,226.96,67.25,86.34,177.636666666667,356.83,130.8,117.14,192.27,185.95,158.36,158.14,163.48,82.03,186.76,493.6,,219.75,555.16
20,01/06/2023,147.67,269.21,332.75,165.52,240.16,187.19,104.27,63.96,112.45,239.41,588.43,137.1,60.96,159.66,51.42,140.51,48.32,59.75,233.65,316.67,47.61,404.46,141.64,102.18,601.94,69.3,187.21,48.69,21.5,35.38,105.17,28.73,386.52,328.62,67.98,178.3,31.95,175.42,397.59,104.95,206.18,445.27,367.67,72.77,367.45,224.93,263.84,56.77,366.53,148.59,159.63,62.47,85.66,134.85,286.65,117.45,122.69,76.48,115.34,93.35,95.44,91.24,51.5,175.16,310.91,,217.75,273.42
21,01/07/2019,66.85,141.56,229.26,83.21,130.53,132.72,34.3,20.57,52.48,147.32,237.98,97.15,35.91,43.42,35.59,142.22,43.21,63.6,5.26,123.34,26.19,200.25,163.82,73.07,193.45,102.42,186.03,14.018,19.33,29.2,104.9,47.44,198.99,126.34,24.12,123.82,27.52,64.49,92.6,53.5,133.79,139.29,191.22,35.515,116.05,102.06,116.1,34.0,186.67,35.85,76.01,17.0,47.45,62.45,124.11,65.85,82.51,86.93,56.44,59.78,64.49,31.15,32.68,94.5,182.84,,136.06,155.29
22,01/07/2020,85.08,203.93,333.39,119.58,168.13,187.5,61.62,48.25,51.2125,256.67,312.64,124.56,70.11,71.07,41.55,176,47.49,60.32,29.99,215.61,35.93,267.03,136.99,116.48,388.49,138.19,291.75,22.378,26.75,29.9,187.37,58.93,266.47,156.58,41.24,146.48,24.19,100.78,176.44,99.99,212.73,296.24,300.21,55.345,176.57,157.58,165.72,58.27,292.91,59.9825,128.04,24.66,54.16,80.5466666666667,279.49,84.34,75.92,109.67,88.97,111.23,117.67,68.22,41.15,129.41,311.27,,188.69,256.47
