,date,ALB,APD,BALL,CE,CF,CTVA,DD,DOW,ECL,EMN,IFF,IP,LIN,LYB,MOS,NEM,NUE,PKG,PPG,PWR,STLD,VMC,WRK,WY
0,01/02/2018,131.53,165.51,38.63,106.76,43.14,,102.33309493565,,134.5,94.27,154.56,56.6003787878788,156.19,112.23,26.65,38.16,66.52,123.61,118,39.24,44.86,131.87,64.71,35.3
1,01/02/2019,78.11,159.59,44.67,91.21,42.03,,77.5966667022484,,144.92,73.09,134.58,38.844696969697,157.2,83.89,29.18,34.48,52.21,84.55,101.69,29.92,30.45,97.59,38.89,21.53
2,01/02/2020,72.61,231.14,63.88,121.43,46.4,28.74,63.5,53.75,190.23,78.67,127.55,43.1060606060606,210.74,93.86,21.43,43.22,55.12,110.72,131.6,41.09,33.8,142.72,43.45,29.39
3,01/03/2018,131.79,166.41,38.53,107.18,43.15,,103.969855146721,,135.37,95.35,155.74,57.3484848484849,157.5,112.26,26.41,37.84,67.39,125.98,118.19,39.55,45.61,134.29,65.4,35.61
4,01/03/2019,72.69,155.31,44.26,87.88,40.57,,74.7358945072462,,141.54,71.4,131.26,38.219696969697,152.29,82.26,28.45,34.38,51.3,82.89,97.97,29.55,29.96,96.59,38.23,22.26
5,01/03/2020,71.57,226,64.77,119.78,46.08,28.4,62.16,52.42,189.32,75.95,126.35,42.3484848484848,205.26,91.55,20.76,42.83,54.39,109.22,129.69,40.86,33.2,142.1,42.68,29.44
6,01/03/2022,236.67,295.81,93.26,167.49,70.59,46.9,80.66,56.87,229.83,119.63,149.12,46.79,338.64,93.16,40.19,60.98,113.04,134.61,170.6,112.27,61.66,207.9,44.19,40.57
7,01/03/2023,214.5,306.57,51.97,102.27,81.95,58.93,68.86,51.04,147.21,82.13,105.64,35.41,318.35,83.99,42.63,49.58,131.06,129.06,126.84,140.61,95.17,176.1,35.48,30.86
8,01/04/2018,130.22,167.05,38.35,107.24,43.6,,105.962432794982,,136.47,96.51,153.76,58.3143939393939,159.97,112.8,26.82,38.26,67.22,128.08,117.47,39.86,45.95,133.38,67.04,35.32
9,01/04/2019,76.24,161.61,45.59,91.46,43.96,,77.8955533494874,,146.67,74.83,136.13,40.0189393939394,156.63,86.7,30.39,34.38,53.83,86.17,99.91,31.17,31.54,101.53,39.88,23.02
10,01/04/2021,152.63,268.2,89.76,125.93,38.53,38.35,70.32,54.04,214.31,98.58,105.08,45.9185606060606,258.81,89.29,23.67,63.15,52.51,135.75,141.31,68.25,36.62,146.53,42.45,32.81
