,date,ARE,AVB,DLR,EQR,ESS,EXR,MAA,PLD,PSA,SBAC,UDR
0,01/02/2018,129.93,177.24,112.66,63.51,240.08,85.68,99.6,64.01,206.32,160.63,38.06
1,01/02/2019,111.37,169.2,103.19,63.76,236.59,87.44,92.65,57.03,195.06,160.75,38.39
2,01/02/2020,159.73,207.24,118,79.77,298.28,104.73,129.61,88.4,211.42,238.87,46.12
3,01/03/2018,129.32,177.79,113.69,63.84,242.54,85.86,99.49,63.89,206.77,162.64,38.34
4,01/03/2019,112.29,170,102.67,64.16,237.84,88.46,93.32,56.57,198.8,162.54,38.58
5,01/03/2020,160.64,209.23,119.94,80.8,301.2,106.52,131.07,89.39,213.7,241.03,46.49
6,01/03/2022,219.83,252.62,175.09,91.06,353.86,219.23,226.13,164.9,365.28,379.87,59.9
7,01/03/2023,144.11,161.5,102.83,58.84,211.31,144.29,155.42,112.69,274.18,281.74,38.59
8,01/04/2018,126.74,174.61,112.28,62.74,238.72,84.3,96.58,62.61,203.11,161.75,37.56
9,01/04/2019,113.44,171.2,104.81,64.56,238.3,87.84,93.33,58,196.6,162.94,38.52
10,01/04/2021,170.77,155.52,135.29,57.5,228.25,110.29,122.71,96.04,220.2,275.63,36.85
11,01/04/2022,220.82,255.12,169.09,92.25,356.63,221.59,227.39,161,365.03,369.46,60.79
12,01/04/2023,146.89,164.32,103.65,59.85,215.25,144.47,157.74,116.96,278.11,292.63,39.25
13,01/05/2018,127,174.26,113,62.69,239.37,83.9,96.15,62.56,201.92,162.87,37.51
14,01/05/2021,170.59,155.07,132.96,57.05,227.22,108.88,122.67,96.19,217.37,272.58,36.79
15,01/05/2022,206.65,251.15,162.88,90.46,349.33,217.74,223.22,157.65,361.77,350.77,59.21
16,01/05/2023,143.05,157.98,98.08,57.47,205.88,141.04,153.01,112.85,271.27,281.37,37.63
17,01/06/2020,161.03,209.58,118.86,81.03,300,106.45,131.26,89.04,214.46,241.25,46.39
18,01/06/2021,163.25,159.23,132.11,58.61,236.67,108.71,124.7,93.91,213.82,264.64,38.16
19,01/06/2022,209.84,251.93,160.8,90.72,348.95,217.65,220.9,156.57,365.34,349.17,59.23
20,01/06/2023,147.6,163.63,101.38,59.36,214.7,144,158.31,116.65,276.76,291.45,38.7
21,01/07/2019,114.14,170.72,106.2,65.1,239.29,87.7,93.2,58.94,196.05,164.59,38.6
22,01/07/2020,155.76,205.02,117.69,79.83,296.33,105.97,129.3,88.47,213.61,237.45,45.82
23,01/07/2021,165.34,157.06,133.61,57.9,231.5,108.97,124.55,95.32,217.45,265.25,37.56
24,01/07/2022,209,248.87,161.06,89.65,344.31,208.45,216.42,153.73,355.91,347.91,58.21
25,01/08/2018,127.28,174.39,114.15,63.11,238.16,85.17,96.48,63.29,203.53,162.89,37.61
26,01/08/2019,116.79,174.26,107.34,66.32,245.27,89.09,95.08,60.9,199.57,167.26,39.48
27,01/08/2020,157.83,205.87,118.71,80,298.04,106.18,130.22,88.95,214,240.03,45.88
28,01/08/2021,165.91,158.44,133.6,58.26,233.89,112.05,125.27,96.6,222.62,267.82,37.38
29,01/09/2018,126.32,173.07,112.6,62.35,236.27,83.11,95.01,62.65,201.15,163.55,36.94
30,01/09/2019,117.3,175.76,101.83,66.32,245.06,88.51,94.99,61.31,198.18,164.94,39.11
31,01/09/2020,157.27,206.35,118.72,80.41,299.46,105.88,130.3,88.96,214.09,241.2,45.66
32,01/09/2023,146.59,162.47,101.14,58.6,212.57,147.3,155.76,116.06,281.21,291.39,38.47
33,01/10/2018,125.28,170.96,109.54,61.46,232.22,82.36,93.91,61.44,196.11,160.89,36.41
34,01/10/2019,119.57,177.99,105.08,67.41,248.68,89.97,96.57,62.38,200.92,168.05,40.01
35,01/10/2020,158.57,208.45,120.37,81.26,302.4,107.77,132.35,89.44,215.82,244.83,46.05
36,01/10/2022,207.82,248.64,159.24,89.68,345.02,208.51,214.7,153.02,359.82,342.58,58.01
37,01/10/2023,147.66,162.99,102.32,58.75,214.06,146.48,154.72,116.05,281.18,293.83,38.59
38,01/11/2018,125.1,169.77,107.94,60.96,232.44,82.25,92.07,61.65,196.12,157.5,36.08
39,01/11/2019,120.34,178.59,106.64,67.55,249.43,89.73,97.19,62.36,200.7,169.79,40.15
40,01/11/2021,164.77,157.38,131.27,58.05,231.28,111.35,124.21,94.66,221.25,260.36,37.05
41,01/11/2022,208.62,249.21,159.03,90.55,346.05,210.06,213.58,152.99,362.85,341.69,58.24
42,01/11/2023,153.7,169.88,105.03,61.39,222.47,153.82,160.6,120.95,293.67,306.09,40.27
43,01/12/2018,125.12,168.23,105.78,60.42,227.1,82.25,91.32,61.85,193.55,155.94,35.7
44,01/12/2021,164.01,157.38,131.51,58.55,232.42,111.9,124.69,94.71,222.24,261.21,37.53
45,01/12/2022,209.97,250.72,158.95,90.98,349.11,211.71,216.73,153.24,367.43,338.51,58.91
46,01/12/2023,155.88,170.27,107.28,61.52,220.5,154.11,160.49,122.12,296.08,306.44,40.46
47,01/13/2020,160.78,211.02,121.97,82.28,305.5,108.12,133.53,91.8,216.78,250.05,46.59
48,01/13/2021,168.9,159.19,133.15,59.57,236.34,111.86,126.42,95.41,224.79,265.42,38.25
49,01/13/2022,209.87,251.07,157.62,91.47,347.78,206.61,218.91,153.15,364.38,334.18,58.98
50,01/13/2023,155.57,167.85,106,60.62,218.54,151.9,159.91,121.9,290.87,306.55,40.15
51,01/14/2019,119.19,178.18,106.51,67.63,248.89,90.03,96.52,62.35,200.95,169.16,40.12
52,01/14/2020,160.46,209.51,120.75,81.16,301.82,108.35,131.79,90.63,216.31,248.66,46.43
53,01/14/2021,167.67,160.49,133.45,60.39,237.08,110.28,129,95.5,221.23,264.12,38.73
54,01/14/2022,210.28,248.68,155.88,90.83,343.96,203.61,215.11,152.74,361.79,326.27,58.58
55,01/15/2019,120.93,179.79,107.29,68.46,252.6,91.58,97.97,63.21,204.01,170.5,40.83
56,01/15/2020,162.29,211.9,120.99,82.07,302.83,109.59,132.06,92.21,218.25,249.5,46.87
57,01/15/2021,168.37,164,136.48,61.59,240.52,112.18,132.01,97.68,224.39,269.1,39.42
58,01/16/2018,124.93,169.03,107.48,60.67,227.6,82.71,92.2,62.14,193.75,159.85,36.07
59,01/16/2019,121.9,182.16,106.94,69.08,256.66,92.01,99.38,63.54,204.31,172.57,41.28
60,01/16/2020,163.81,214.89,123.67,82.51,306.03,110.91,133.69,93.35,220.02,250.73,47.33
