,date,AEE,AEP,AES,ATO,CMS,CNP,D,DTE,DUK,ED,EIX,EQT,ES,ETR,EVRG,EXC,FE,KMI,LNT,NEE,NI,NRG,OKE,PCG,PEG,PNW,PPL,SO,SRE,WEC,XEL
0,01/02/2018,58.39,72.41,10.88,85.04,46.95,28.02,80.28,92.2978723404255,83.23,83.58,63.25,31.9107240065324,63.15,82.6,53.14,28.2382310984308,30.82,18.8,42.11,38.7725,25.36,28.9,54.65,44.49,51.0,83.89,30.6,47.17,52.675,65.77,47.81
1,01/02/2019,63.53,72.94,14.18,89.85,48.31,28,71.18,91.8212765957447,84.7,75.14,56.75,19.9,63.49,84,55.88,31.4336661911555,36.72,15.8,41.15,42.4575,25.07,38.11,54.41,23.8,50.83,82.87,28.11,43.72,53.38,67.58,48.22
2,01/02/2020,76.05,93.46,20.03,110.38,61.71,26.95,81.96,109.531914893617,90.34,88.86,74.38,10.36,83.23,117.93,63.44,32.4037089871612,47.53,21.04,53.63,59.655,27.18,38.8,75.71,10.85,58.71,88.71,35.42,62.62,74.56,90.67,62.38
3,01/03/2018,58.09,71.8,10.87,84.34,46.66,27.96,77.19,92,82.97,82.79,62.75,32.0794774088187,62.59,81.69,52.32,27.8601997146933,30.38,18.96,41.74,37.95,25.2,28.88,55.54,43.77,50.74,83.12,30.67,46.9,54.07,65.54,47.49
4,01/03/2019,63.69,72.77,14.17,90.53,48.4,28.16,70.84,92.2042553191489,84.67,75.33,56.84,19.32,63.45,84.17,55.67,31.4693295292439,36.71,15.71,41.22,42.3525,25.1,37.75,54.28,23.95,50.82,83.71,28.01,44.34,53.625,67.76,48.03
5,01/03/2020,76.08,93.36,19.8,111.11,62.31,26.79,81.76,109.795744680851,90.4,88.63,74.78,10.34,82.86,118.73,63.5,32.5035663338088,47.46,21.2,53.8,60.08,27.4,38.2,76.58,10.57,58.7,88.99,35.38,62.56,73.88,91.24,62.68
6,01/03/2022,88.58,88.61,24.38,105.01,64.71,27.62,78.35,119.18,103.49,85.13,67.51,21.82,89.13,111.4,68.16,40.7061340941512,41.24,16.35,60.85,91.66,27.52,42.96,59.99,12.21,66.16,69.79,30.14,68.17,65.995,96.09,67.94
7,01/03/2023,88.49,94.87,28.11,111.2,63.73,29.56,62.97,117.86,103.7,95.76,64.28,31.82,84.22,109.13,62.93,43.16,42.03,18.01,55.37,83.83,27.44,31.93,63.94,15.68,62.05,74.63,29.2,71.9,76.855,94.16,70.07
8,01/04/2018,57.43,70.95,10.83,83.98,46.14,27.99,76.83,90.468085106383,82.32,81.82,62.29,32.1012520413718,61.71,80.54,52.1,27.4679029957204,30.32,19.01,41.25,37.755,25.09,28.55,56.2,43.52,49.25,82.51,30.75,46.7,53.71,65.31,47.12
9,01/04/2019,64.59,73.44,14.64,91.69,48.85,28.68,72.21,93.6085106382979,85.37,76.55,58.42,19.52,64.09,84.8,55.89,31.8259629101284,37.17,16.24,41.72,43.1325,25.54,39.04,56.65,24.4,51.37,84.74,28.87,44.71,55.23,68.26,48.5
10,01/04/2021,76.13,81.54,23.24,94.03,59.61,21.34,73.89,101.608510638298,89.71,70.66,60.49,13.41,84.51,98.01,53.75,29.3651925820257,29.51,13.56,50.49,74.22,22.58,36.3,37.5,12.21,55.73,79.09,27.58,59.36,61.9,90.38,65.66
11,01/04/2022,88.11,88.65,24.45,106.26,64.6,27.45,78.1,119.38,103.41,84.97,66.67,22.41,88.39,111.28,67.98,40.6633380884451,41.08,16.58,60.72,90.68,27.62,42.62,61.4,12.44,65.99,69.65,29.99,68.17,67.185,95.85,68.37
12,01/04/2023,88.96,95.52,27.28,111.94,64.63,29.65,63.21,119.56,104.81,96.59,66.39,33.21,85.33,109.21,63.89,43.73,42.34,18.23,55.79,84.49,27.78,32.09,64.44,15.88,62.51,75.39,29.93,72.51,77.52,94.78,70.67
13,01/05/2018,57.39,70.8,10.87,83.19,45.81,27.87,76.84,90.3829787234043,81.94,81.74,62.98,31.4697876973326,61.82,79.92,51.66,27.2396576319544,30.11,18.95,41.08,37.9275,24.79,28.73,56.06,44.29,49.66,82.42,30.95,46.78,54.225,64.87,46.79
14,01/05/2021,75.76,81.43,24.02,92.61,58.55,21.57,73,101.770212765957,89.75,69.87,60.81,14.04,85.12,96.7,53.64,29.3223965763195,29.84,13.9,50.25,74.77,22.52,36.81,39.38,12.38,55.74,77.73,27.61,59.75,61.705,90.09,65.02
15,01/05/2022,88.33,89.47,23.33,106.6,65.4,27.39,79.21,119.25,103.64,85.55,65.2,21.69,89.23,111.54,67.51,40.6348074179743,40.8,16.67,61.26,89.73,27.77,41.42,60.64,11.86,65.83,69.85,30.05,68.25,67.595,96.96,69.04
16,01/05/2023,86,93.78,25.87,108.87,63.28,28.98,61.46,116.58,103.26,95.29,64.89,32.08,83.75,103.66,62.99,42.78,41.68,18.21,54.13,82.63,27.13,31.75,64.83,15.66,61.12,73.65,29.24,70.38,76.24,92.41,69.24
17,01/06/2020,76.15,93.67,20.03,110.96,62.59,26.75,82.39,109.770212765957,90.84,88.34,75.13,10.46,83.31,119.15,63.32,32.5534950071327,47.55,21.28,53.75,60.38,27.39,37.38,76.91,10.38,58.13,88.9,35.42,62.81,74.5,91.31,62.59
