Ticker,Sector
MMM,Industrials
AOS,Industrials
ABT,Health Care
ABBV,Health Care
ACN,Information Technology
ADBE,Information Technology
AMD,Information Technology
AES,Utilities
AFL,Financials
A,Health Care
APD,Materials
ABNB,Consumer Discretionary
AKAM,Information Technology
ALB,Materials
ARE,Real Estate
ALGN,Health Care
ALLE,Industrials
LNT,Utilities
ALL,Financials
GOOGL,Communication Services
GOOG,Communication Services
MO,Consumer Staples
AMZN,Consumer Discretionary
AMCR,Materials
AEE,Utilities
AAL,Industrials
AEP,Utilities
AXP,Financials
AIG,Financials
AMT,Real Estate
AWK,Utilities
AMP,Financials
AME,Industrials
AMGN,Health Care
APH,Information Technology
ADI,Information Technology
ANSS,Information Technology
AON,Financials
APA,Energy
AAPL,Information Technology
AMAT,Information Technology
APTV,Consumer Discretionary
ACGL,Financials
ADM,Consumer Staples
ANET,Information Technology
AJG,Financials
AIZ,Financials
T,Communication Services
ATO,Utilities
ADSK,Information Technology
ADP,Industrials
AZO,Consumer Discretionary
AVB,Real Estate
AVY,Materials
AXON,Industrials
BKR,Energy
BALL,Materials
BAC,Financials
BK,Financials
BBWI,Consumer Discretionary
BAX,Health Care
BDX,Health Care
BRK.B,Financials
BBY,Consumer Discretionary
BIO,Health Care
TECH,Health Care
BIIB,Health Care
BLK,Financials
BX,Financials
BA,Industrials
BKNG,Consumer Discretionary
BWA,Consumer Discretionary
BXP,Real Estate
BSX,Health Care
BMY,Health Care
AVGO,Information Technology
BR,Industrials
BRO,Financials
BF.B,Consumer Staples
BLDR,Industrials
BG,Consumer Staples
CDNS,Information Technology
CZR,Consumer Discretionary
CPT,Real Estate
CPB,Consumer Staples
COF,Financials
CAH,Health Care
KMX,Consumer Discretionary
CCL,Consumer Discretionary
CARR,Industrials
CTLT,Health Care
CAT,Industrials
CBOE,Financials
CBRE,Real Estate
CDW,Information Technology
CE,Materials
COR,Health Care
CNC,Health Care
CNP,Utilities
CF,Materials
CHRW,Industrials
CRL,Health Care
SCHW,Financials
CHTR,Communication Services
CVX,Energy
CMG,Consumer Discretionary
CB,Financials
CHD,Consumer Staples
CI,Health Care
CINF,Financials
CTAS,Industrials
CSCO,Information Technology
C,Financials
CFG,Financials
CLX,Consumer Staples
CME,Financials
CMS,Utilities
KO,Consumer Staples
CTSH,Information Technology
CL,Consumer Staples
CMCSA,Communication Services
CMA,Financials
CAG,Consumer Staples
COP,Energy
ED,Utilities
STZ,Consumer Staples
CEG,Utilities
COO,Health Care
CPRT,Industrials
GLW,Information Technology
CTVA,Materials
CSGP,Real Estate
COST,Consumer Staples
CTRA,Energy
CCI,Real Estate
CSX,Industrials
CMI,Industrials
CVS,Health Care
DHR,Health Care
DRI,Consumer Discretionary
DVA,Health Care
DAY,Industrials
DE,Industrials
DAL,Industrials
XRAY,Health Care
DVN,Energy
DXCM,Health Care
FANG,Energy
DLR,Real Estate
DFS,Financials
DG,Consumer Staples
DLTR,Consumer Staples
D,Utilities
DPZ,Consumer Discretionary
DOV,Industrials
DOW,Materials
DHI,Consumer Discretionary
DTE,Utilities
DUK,Utilities
DD,Materials
EMN,Materials
ETN,Industrials
EBAY,Consumer Discretionary
ECL,Materials
EIX,Utilities
EW,Health Care
EA,Communication Services
ELV,Health Care
LLY,Health Care
EMR,Industrials
ENPH,Information Technology
ETR,Utilities
EOG,Energy
EPAM,Information Technology
EQT,Energy
EFX,Industrials
EQIX,Real Estate
EQR,Real Estate
ESS,Real Estate
EL,Consumer Staples
ETSY,Consumer Discretionary
EG,Financials
EVRG,Utilities
ES,Utilities
EXC,Utilities
EXPE,Consumer Discretionary
EXPD,Industrials
EXR,Real Estate
XOM,Energy
FFIV,Information Technology
FDS,Financials
FICO,Information Technology
FAST,Industrials
FRT,Real Estate
FDX,Industrials
FIS,Financials
FITB,Financials
FSLR,Information Technology
FE,Utilities
FI,Financials
FLT,Financials
FMC,Materials
F,Consumer Discretionary
FTNT,Information Technology
FTV,Industrials
FOXA,Communication Services
FOX,Communication Services
BEN,Financials
FCX,Materials
GRMN,Consumer Discretionary
IT,Information Technology
GEHC,Health Care
GEN,Information Technology
GNRC,Industrials
GD,Industrials
GE,Industrials
GIS,Consumer Staples
GM,Consumer Discretionary
GPC,Consumer Discretionary
GILD,Health Care
GPN,Financials
GL,Financials
GS,Financials
HAL,Energy
HIG,Financials
HAS,Consumer Discretionary
HCA,Health Care
PEAK,Real Estate
HSIC,Health Care
HSY,Consumer Staples
HES,Energy
HPE,Information Technology
HLT,Consumer Discretionary
HOLX,Health Care
HD,Consumer Discretionary
HON,Industrials
HRL,Consumer Staples
HST,Real Estate
HWM,Industrials
HPQ,Information Technology
HUBB,Industrials
HUM,Health Care
HBAN,Financials
HII,Industrials
IBM,Information Technology
IEX,Industrials
IDXX,Health Care
ITW,Industrials
ILMN,Health Care
INCY,Health Care
IR,Industrials
PODD,Health Care
INTC,Information Technology
ICE,Financials
IFF,Materials
IP,Materials
IPG,Communication Services
INTU,Information Technology
ISRG,Health Care
IVZ,Financials
INVH,Real Estate
IQV,Health Care
IRM,Real Estate
JBHT,Industrials
JBL,Information Technology
JKHY,Financials
J,Industrials
JNJ,Health Care
JCI,Industrials
JPM,Financials
JNPR,Information Technology
K,Consumer Staples
KVUE,Consumer Staples
KDP,Consumer Staples
KEY,Financials
KEYS,Information Technology
KMB,Consumer Staples
KIM,Real Estate
KMI,Energy
KLAC,Information Technology
KHC,Consumer Staples
KR,Consumer Staples
LHX,Industrials
LH,Health Care
LRCX,Information Technology
LW,Consumer Staples
LVS,Consumer Discretionary
LDOS,Industrials
LEN,Consumer Discretionary
LIN,Materials
LYV,Communication Services
LKQ,Consumer Discretionary
LMT,Industrials
L,Financials
LOW,Consumer Discretionary
LULU,Consumer Discretionary
LYB,Materials
MTB,Financials
MRO,Energy
MPC,Energy
MKTX,Financials
MAR,Consumer Discretionary
MMC,Financials
MLM,Materials
MAS,Industrials
MA,Financials
MTCH,Communication Services
MKC,Consumer Staples
MCD,Consumer Discretionary
MCK,Health Care
MDT,Health Care
MRK,Health Care
META,Communication Services
MET,Financials
MTD,Health Care
MGM,Consumer Discretionary
MCHP,Information Technology
MU,Information Technology
MSFT,Information Technology
MAA,Real Estate
MRNA,Health Care
MHK,Consumer Discretionary
MOH,Health Care
TAP,Consumer Staples
MDLZ,Consumer Staples
MPWR,Information Technology
MNST,Consumer Staples
MCO,Financials
MS,Financials
MOS,Materials
MSI,Information Technology
MSCI,Financials
NDAQ,Financials
NTAP,Information Technology
NFLX,Communication Services
NEM,Materials
NWSA,Communication Services
NWS,Communication Services
NEE,Utilities
NKE,Consumer Discretionary
NI,Utilities
NDSN,Industrials
NSC,Industrials
NTRS,Financials
NOC,Industrials
NCLH,Consumer Discretionary
NRG,Utilities
NUE,Materials
NVDA,Information Technology
NVR,Consumer Discretionary
NXPI,Information Technology
ORLY,Consumer Discretionary
OXY,Energy
ODFL,Industrials
